condition,policy,priority,arm,delta_us
idle,SCHED_OTHER,0,dlp-first,36.2090
idle,SCHED_OTHER,0,dlp-first,46.5542
idle,SCHED_OTHER,0,dlp-first,110.4586
idle,SCHED_OTHER,0,dlp-first,43.9384
idle,SCHED_OTHER,0,dlp-first,47.5017
idle,SCHED_OTHER,0,dlp-first,32.1314
idle,SCHED_OTHER,0,dlp-first,27.8727
idle,SCHED_OTHER,0,dlp-first,44.3642
idle,SCHED_OTHER,0,dlp-first,43.7591
idle,SCHED_OTHER,0,dlp-first,44.4519
idle,SCHED_OTHER,0,dlp-first,46.1233
idle,SCHED_OTHER,0,dlp-first,43.9888
idle,SCHED_OTHER,0,dlp-first,37.8493
idle,SCHED_OTHER,0,dlp-first,33.9179
idle,SCHED_OTHER,0,dlp-first,41.9148
idle,SCHED_OTHER,0,dlp-first,61.5834
idle,SCHED_OTHER,0,dlp-first,28.5513
idle,SCHED_OTHER,0,dlp-first,37.4766
idle,SCHED_OTHER,0,dlp-first,45.0946
idle,SCHED_OTHER,0,dlp-first,39.0415
idle,SCHED_OTHER,0,dlp-first,36.0069
idle,SCHED_OTHER,0,dlp-first,39.2599
idle,SCHED_OTHER,0,dlp-first,40.9278
idle,SCHED_OTHER,0,dlp-first,33.9626
idle,SCHED_OTHER,0,dlp-first,38.9275
idle,SCHED_OTHER,0,dlp-first,50.9468
idle,SCHED_OTHER,0,dlp-first,36.9187
idle,SCHED_OTHER,0,dlp-first,40.4935
idle,SCHED_OTHER,0,dlp-first,39.5240
idle,SCHED_OTHER,0,dlp-first,47.7423
idle,SCHED_OTHER,0,dlp-first,39.1128
idle,SCHED_OTHER,0,dlp-first,44.6588
idle,SCHED_OTHER,0,dlp-first,52.3664
idle,SCHED_OTHER,0,dlp-first,31.7512
idle,SCHED_OTHER,0,dlp-first,47.9933
idle,SCHED_OTHER,0,dlp-first,38.8464
idle,SCHED_OTHER,0,dlp-first,39.2313
idle,SCHED_OTHER,0,dlp-first,48.2953
idle,SCHED_OTHER,0,dlp-first,43.1308
idle,SCHED_OTHER,0,dlp-first,35.9482
idle,SCHED_OTHER,0,dlp-first,30.2441
idle,SCHED_OTHER,0,dlp-first,31.7521
idle,SCHED_OTHER,0,dlp-first,32.8507
idle,SCHED_OTHER,0,dlp-first,40.9990
idle,SCHED_OTHER,0,dlp-first,34.5445
idle,SCHED_OTHER,0,dlp-first,30.1814
idle,SCHED_OTHER,0,dlp-first,31.7598
idle,SCHED_OTHER,0,dlp-first,45.0660
idle,SCHED_OTHER,0,dlp-first,25.4336
idle,SCHED_OTHER,0,dlp-first,46.6140
idle,SCHED_OTHER,0,dlp-first,48.5519
idle,SCHED_OTHER,0,dlp-first,32.5442
idle,SCHED_OTHER,0,dlp-first,41.7702
idle,SCHED_OTHER,0,dlp-first,22.7563
idle,SCHED_OTHER,0,dlp-first,49.1490
idle,SCHED_OTHER,0,dlp-first,32.5880
idle,SCHED_OTHER,0,dlp-first,45.3504
idle,SCHED_OTHER,0,dlp-first,28.3447
idle,SCHED_OTHER,0,dlp-first,42.6520
