condition,policy,priority,arm,delta_us
rt,SCHED_FIFO,50,dlp-first,57.8158
rt,SCHED_FIFO,50,dlp-first,40.9453
rt,SCHED_FIFO,50,dlp-first,51.2389
rt,SCHED_FIFO,50,dlp-first,31.3385
rt,SCHED_FIFO,50,dlp-first,58.9636
rt,SCHED_FIFO,50,dlp-first,52.7814
rt,SCHED_FIFO,50,dlp-first,54.9692
rt,SCHED_FIFO,50,dlp-first,48.9184
rt,SCHED_FIFO,50,dlp-first,39.0888
rt,SCHED_FIFO,50,dlp-first,49.7530
rt,SCHED_FIFO,50,dlp-first,44.0654
rt,SCHED_FIFO,50,dlp-first,40.3182
rt,SCHED_FIFO,50,dlp-first,42.6728
rt,SCHED_FIFO,50,dlp-first,51.7387
rt,SCHED_FIFO,50,dlp-first,58.3077
rt,SCHED_FIFO,50,dlp-first,48.8759
rt,SCHED_FIFO,50,dlp-first,52.4147
rt,SCHED_FIFO,50,dlp-first,47.2688
rt,SCHED_FIFO,50,dlp-first,45.3298
rt,SCHED_FIFO,50,dlp-first,46.9776
rt,SCHED_FIFO,50,dlp-first,41.2910
rt,SCHED_FIFO,50,dlp-first,48.8406
rt,SCHED_FIFO,50,dlp-first,44.3064
rt,SCHED_FIFO,50,dlp-first,50.6751
rt,SCHED_FIFO,50,dlp-first,35.4598
rt,SCHED_FIFO,50,dlp-first,30.8063
rt,SCHED_FIFO,50,dlp-first,35.7426
rt,SCHED_FIFO,50,dlp-first,55.0991
rt,SCHED_FIFO,50,dlp-first,41.7863
rt,SCHED_FIFO,50,dlp-first,51.2761
rt,SCHED_FIFO,50,dlp-first,49.5431
rt,SCHED_FIFO,50,dlp-first,50.2689
rt,SCHED_FIFO,50,dlp-first,45.1564
rt,SCHED_FIFO,50,dlp-first,42.8526
rt,SCHED_FIFO,50,dlp-first,47.5369
rt,SCHED_FIFO,50,dlp-first,24.4801
rt,SCHED_FIFO,50,dlp-first,45.5799
rt,SCHED_FIFO,50,dlp-first,53.1616
rt,SCHED_FIFO,50,dlp-first,49.3422
rt,SCHED_FIFO,50,dlp-first,46.5602
rt,SCHED_FIFO,50,dlp-first,47.4451
rt,SCHED_FIFO,50,dlp-first,52.2787
rt,SCHED_FIFO,50,dlp-first,49.5147
rt,SCHED_FIFO,50,dlp-first,50.6032
rt,SCHED_FIFO,50,dlp-first,44.9418
rt,SCHED_FIFO,50,dlp-first,54.1768
rt,SCHED_FIFO,50,dlp-first,50.5719
rt,SCHED_FIFO,50,dlp-first,47.0545
rt,SCHED_FIFO,50,dlp-first,49.3394
rt,SCHED_FIFO,50,dlp-first,51.0410
rt,SCHED_FIFO,50,dlp-first,43.4989
rt,SCHED_FIFO,50,dlp-first,41.4238
rt,SCHED_FIFO,50,dlp-first,38.9420
rt,SCHED_FIFO,50,dlp-first,46.7722
rt,SCHED_FIFO,50,dlp-first,54.1893
rt,SCHED_FIFO,50,dlp-first,50.8183
rt,SCHED_FIFO,50,dlp-first,52.2450
rt,SCHED_FIFO,50,dlp-first,62.6259
rt,SCHED_FIFO,50,dlp-first,52.8309
rt,SCHED_FIFO,50,dlp-first,48.3643
rt,SCHED_FIFO,50,dlp-first,44.1523
rt,SCHED_FIFO,50,dlp-first,47.7901
rt,SCHED_FIFO,50,dlp-first,48.1210
rt,SCHED_FIFO,50,dlp-first,25.4801
rt,SCHED_FIFO,50,dlp-first,46.7364
rt,SCHED_FIFO,50,dlp-first,40.8921
rt,SCHED_FIFO,50,dlp-first,45.7724
rt,SCHED_FIFO,50,dlp-first,39.9827
rt,SCHED_FIFO,50,dlp-first,57.0672
rt,SCHED_FIFO,50,dlp-first,42.4544
rt,SCHED_FIFO,50,dlp-first,47.5751
rt,SCHED_FIFO,50,dlp-first,53.6189
rt,SCHED_FIFO,50,dlp-first,34.2497
rt,SCHED_FIFO,50,dlp-first,38.8023
rt,SCHED_FIFO,50,dlp-first,47.8043
rt,SCHED_FIFO,50,dlp-first,50.1736
rt,SCHED_FIFO,50,dlp-first,42.8936
rt,SCHED_FIFO,50,dlp-first,40.9268
rt,SCHED_FIFO,50,dlp-first,23.7041
rt,SCHED_FIFO,50,dlp-first,64.1890
rt,SCHED_FIFO,50,dlp-first,42.8440
rt,SCHED_FIFO,50,dlp-first,50.4865
rt,SCHED_FIFO,50,dlp-first,46.2013
rt,SCHED_FIFO,50,dlp-first,58.5361
rt,SCHED_FIFO,50,dlp-first,64.2910
rt,SCHED_FIFO,50,dlp-first,54.4487
rt,SCHED_FIFO,50,dlp-first,59.3492
rt,SCHED_FIFO,50,dlp-first,53.2433
rt,SCHED_FIFO,50,dlp-first,51.9258
rt,SCHED_FIFO,50,dlp-first,65.5712
rt,SCHED_FIFO,50,dlp-first,47.8787
rt,SCHED_FIFO,50,dlp-first,48.1749
rt,SCHED_FIFO,50,dlp-first,47.0531
rt,SCHED_FIFO,50,dlp-first,46.9545
rt,SCHED_FIFO,50,dlp-first,21.7496
rt,SCHED_FIFO,50,dlp-first,41.3770
