arm,policy,priority,trial,first_ch,second_ch,delta_us
box-first,SCHED_OTHER,0,1,1,2,152.5300
box-first,SCHED_OTHER,0,2,1,2,187.9100
box-first,SCHED_OTHER,0,3,1,2,169.4600
box-first,SCHED_OTHER,0,4,1,2,176.6600
box-first,SCHED_OTHER,0,5,1,2,165.0600
box-first,SCHED_OTHER,0,6,1,2,24.5200
box-first,SCHED_OTHER,0,7,1,2,39.5400
box-first,SCHED_OTHER,0,8,1,2,168.8000
box-first,SCHED_OTHER,0,9,1,2,90.4500
box-first,SCHED_OTHER,0,10,1,2,57.8900
box-first,SCHED_OTHER,0,11,1,2,29.4500
box-first,SCHED_OTHER,0,12,1,2,35.5300
box-first,SCHED_OTHER,0,13,1,2,35.4000
box-first,SCHED_OTHER,0,14,1,2,19.6300
box-first,SCHED_OTHER,0,15,1,2,260.6600
box-first,SCHED_OTHER,0,16,1,2,144.4800
box-first,SCHED_OTHER,0,17,1,2,167.9200
box-first,SCHED_OTHER,0,18,1,2,41.6900
box-first,SCHED_OTHER,0,19,1,2,148.3800
box-first,SCHED_OTHER,0,20,1,2,122.1800
box-first,SCHED_OTHER,0,21,1,2,168.1100
box-first,SCHED_OTHER,0,22,1,2,28.9200
box-first,SCHED_OTHER,0,23,1,2,33.9500
box-first,SCHED_OTHER,0,24,1,2,46.2600
box-first,SCHED_OTHER,0,25,1,2,24.0600
box-first,SCHED_OTHER,0,26,1,2,34.4300
box-first,SCHED_OTHER,0,27,1,2,25.1000
box-first,SCHED_OTHER,0,28,1,2,32.2900
box-first,SCHED_OTHER,0,29,1,2,41.2800
box-first,SCHED_OTHER,0,30,1,2,173.3000
box-first,SCHED_OTHER,0,31,1,2,37.9400
box-first,SCHED_OTHER,0,32,1,2,34.6600
box-first,SCHED_OTHER,0,33,1,2,168.3300
box-first,SCHED_OTHER,0,34,1,2,35.6900
box-first,SCHED_OTHER,0,35,1,2,161.1200
box-first,SCHED_OTHER,0,36,1,2,54.6100
box-first,SCHED_OTHER,0,37,1,2,142.6400
box-first,SCHED_OTHER,0,38,1,2,163.8000
box-first,SCHED_OTHER,0,39,1,2,29.5300
box-first,SCHED_OTHER,0,40,1,2,20.0000
box-first,SCHED_OTHER,0,41,1,2,30.0000
box-first,SCHED_OTHER,0,42,1,2,29.5300
box-first,SCHED_OTHER,0,43,1,2,33.3000
box-first,SCHED_OTHER,0,44,1,2,22.5100
box-first,SCHED_OTHER,0,45,1,2,17.3200
box-first,SCHED_OTHER,0,46,1,2,16.2000
box-first,SCHED_OTHER,0,47,1,2,180.0600
box-first,SCHED_OTHER,0,48,1,2,74.2000
box-first,SCHED_OTHER,0,49,1,2,185.4800
box-first,SCHED_OTHER,0,50,1,2,155.4000
box-first,SCHED_OTHER,0,51,1,2,158.9800
box-first,SCHED_OTHER,0,52,1,2,167.4800
box-first,SCHED_OTHER,0,53,1,2,180.6100
box-first,SCHED_OTHER,0,54,1,2,155.3200
box-first,SCHED_OTHER,0,55,1,2,162.3000
box-first,SCHED_OTHER,0,56,1,2,166.3500
box-first,SCHED_OTHER,0,57,1,2,165.2800
box-first,SCHED_OTHER,0,58,1,2,39.8000
box-first,SCHED_OTHER,0,59,1,2,74.0200
box-first,SCHED_OTHER,0,60,1,2,60.0100
box-first,SCHED_OTHER,0,61,1,2,78.9000
box-first,SCHED_OTHER,0,62,1,2,33.4300
box-first,SCHED_OTHER,0,63,1,2,20.5300
box-first,SCHED_OTHER,0,64,1,2,128.8100
box-first,SCHED_OTHER,0,66,1,2,161.2100
box-first,SCHED_OTHER,0,67,1,2,149.3200
box-first,SCHED_OTHER,0,68,1,2,40.1800
box-first,SCHED_OTHER,0,69,1,2,160.0000
box-first,SCHED_OTHER,0,70,1,2,48.1000
box-first,SCHED_OTHER,0,71,1,2,172.9800
box-first,SCHED_OTHER,0,72,1,2,204.2700
