latency_timer_ms,trial,roundtrip_ms,polls
16,0,15.9908,1
16,1,15.9400,1
16,2,15.9139,1
16,3,15.9887,1
16,4,15.9405,1
16,5,16.1629,1
16,6,15.9689,1
16,7,15.9242,1
16,8,15.9703,1
16,9,16.0138,1
16,10,15.9364,1
16,11,15.9899,1
16,12,15.9714,1
16,13,16.0895,1
16,14,15.9896,1
16,15,15.9805,1
16,16,15.9958,1
16,17,15.9109,1
16,18,16.0230,1
16,19,15.9706,1
16,20,15.9783,1
16,21,16.1051,1
16,22,16.0633,1
16,23,15.9882,1
16,24,16.0534,1
16,25,16.0520,1
16,26,16.0092,1
16,27,16.0263,1
16,28,16.0187,1
16,29,16.0033,1
16,30,16.0503,1
16,31,15.9547,1
16,32,15.9746,1
16,33,16.2438,1
16,34,16.1052,1
16,35,15.8663,1
16,36,15.9776,1
16,37,16.0245,1
16,38,15.9294,1
16,39,16.0184,1
16,40,16.0143,1
16,41,16.0149,1
16,42,16.0222,1
16,43,16.0202,1
16,44,16.1172,1
16,45,15.9717,1
16,46,15.8855,1
16,47,15.9808,1
16,48,16.1060,1
16,49,16.0023,1
16,50,16.0155,1
16,51,15.9360,1
16,52,16.0984,1
16,53,16.1141,1
16,54,16.0306,1
16,55,15.9405,1
16,56,15.9492,1
16,57,16.0507,1
16,58,15.5860,1
16,59,15.8614,1
16,60,16.1731,1
16,61,15.9808,1
16,62,15.8195,1
16,63,15.7929,1
16,64,16.1863,1
16,65,16.0036,1
16,66,15.6075,1
16,67,15.9412,1
16,68,15.9921,1
16,69,15.9428,1
16,70,15.9904,1
16,71,15.9542,1
16,72,15.9635,1
16,73,16.0558,1
16,74,15.9201,1
16,75,15.9407,1
16,76,15.9217,1
16,77,15.9779,1
16,78,16.4083,1
16,79,15.9816,1
16,80,16.3961,1
16,81,15.7457,1
16,82,16.0842,1
16,83,16.2144,1
16,84,16.0657,1
16,85,15.9955,1
16,86,15.9942,1
16,87,16.0133,1
16,88,16.0197,1
16,89,15.9807,1
16,90,15.9786,1
16,91,16.1549,1
16,92,16.0234,1
16,93,15.5871,1
16,94,15.9723,1
16,95,15.9686,1
16,96,15.9986,1
16,97,15.9998,1
16,98,15.7112,1
16,99,16.0132,1
16,100,15.9116,1
16,101,15.9846,1
16,102,15.8936,1
16,103,16.3674,1
16,104,15.4919,1
16,105,15.9379,1
16,106,15.9400,1
16,107,15.9812,1
16,108,16.1340,1
16,109,16.0581,1
16,110,15.9970,1
16,111,15.6967,1
16,112,15.9083,1
16,113,15.7055,1
16,114,15.7613,1
16,115,16.0345,1
16,116,15.8302,1
16,117,16.1791,1
16,118,15.5269,1
16,119,16.0132,1
16,120,15.9808,1
16,121,16.1047,1
16,122,16.0354,1
16,123,15.9530,1
16,124,16.0147,1
16,125,15.9125,1
16,126,15.9505,1
16,127,15.8779,1
16,128,15.9660,1
16,129,15.3958,1
16,130,15.9681,1
16,131,15.9619,1
16,132,16.1949,1
16,133,15.9771,1
16,134,16.0828,1
16,135,16.4206,1
16,136,15.4470,1
16,137,15.9757,1
16,138,16.0233,1
16,139,16.0838,1
16,140,16.4099,1
16,141,15.9652,1
16,142,16.0437,1
16,143,16.2507,1
16,144,16.0780,1
16,145,16.5033,1
16,146,15.8356,1
16,147,15.9359,1
16,148,16.0688,1
16,149,16.0759,1
16,150,15.8801,1
16,151,16.0755,1
16,152,16.3758,1
16,153,15.9872,1
16,154,16.0355,1
16,155,15.9868,1
16,156,15.5506,1
16,157,15.9131,1
16,158,16.0381,1
16,159,15.9770,1
16,160,16.0168,1
16,161,15.8561,1
16,162,15.9531,1
16,163,16.0702,1
16,164,16.0383,1
16,165,15.9427,1
16,166,15.9716,1
16,167,15.9101,1
16,168,16.0528,1
16,169,16.0442,1
16,170,16.0499,1
16,171,15.9800,1
16,172,16.0003,1
16,173,15.9891,1
16,174,15.9845,1
16,175,16.0725,1
16,176,15.9642,1
16,177,15.9703,1
16,178,16.0040,1
16,179,15.8678,1
16,180,15.9714,1
16,181,16.1681,1
16,182,16.0021,1
16,183,15.9915,1
16,184,15.9928,1
16,185,15.9210,1
16,186,15.9519,1
16,187,15.9960,1
16,188,15.9679,1
16,189,15.8443,1
16,190,15.9890,1
16,191,15.9966,1
16,192,15.9873,1
16,193,15.8915,1
16,194,15.9853,1
16,195,15.8027,1
16,196,15.9485,1
16,197,16.0329,1
16,198,16.0969,1
16,199,15.9734,1
