op,latency_timer_ms,trial,roundtrip_ms
ping,8,0,5.0915
ping,8,1,7.9800
ping,8,2,8.0916
ping,8,3,7.9665
ping,8,4,7.9877
ping,8,5,7.8883
ping,8,6,7.9946
ping,8,7,8.0812
ping,8,8,8.0015
ping,8,9,7.9923
ping,8,10,8.0760
ping,8,11,7.9641
ping,8,12,7.8639
ping,8,13,8.0812
ping,8,14,7.9568
ping,8,15,7.9513
ping,8,16,8.0587
ping,8,17,7.9598
ping,8,18,7.8639
ping,8,19,8.0361
ping,8,20,7.8330
ping,8,21,7.9903
ping,8,22,8.1122
ping,8,23,7.9152
ping,8,24,8.0601
ping,8,25,7.9137
ping,8,26,8.0202
ping,8,27,7.9802
ping,8,28,7.9791
ping,8,29,8.1169
ping,8,30,7.8427
ping,8,31,8.0720
ping,8,32,7.9179
ping,8,33,7.9915
ping,8,34,7.9836
ping,8,35,7.9662
ping,8,36,7.9987
ping,8,37,8.0116
ping,8,38,7.9570
ping,8,39,7.9550
ping,8,40,8.1324
ping,8,41,7.9209
ping,8,42,8.0244
ping,8,43,7.9129
ping,8,44,8.0463
ping,8,45,8.0200
ping,8,46,7.9344
ping,8,47,8.0017
ping,8,48,7.9468
ping,8,49,8.0321
ping,8,50,7.9738
ping,8,51,8.4825
ping,8,52,7.5627
ping,8,53,7.9127
ping,8,54,7.9373
ping,8,55,7.9825
ping,8,56,8.0053
ping,8,57,7.9814
ping,8,58,8.0302
ping,8,59,7.9043
ping,8,60,7.9993
ping,8,61,7.9145
ping,8,62,7.9685
ping,8,63,7.9716
ping,8,64,8.1082
ping,8,65,7.9620
ping,8,66,8.0126
ping,8,67,7.9164
ping,8,68,8.0230
ping,8,69,8.5559
ping,8,70,7.5790
ping,8,71,7.8069
ping,8,72,8.1087
ping,8,73,7.9815
ping,8,74,7.9305
ping,8,75,7.9625
ping,8,76,8.0077
ping,8,77,7.9664
ping,8,78,8.4986
ping,8,79,7.5393
ping,8,80,8.0542
ping,8,81,7.6982
ping,8,82,7.9797
ping,8,83,7.9763
ping,8,84,7.9269
ping,8,85,7.9604
ping,8,86,8.0205
ping,8,87,7.9165
ping,8,88,7.9623
ping,8,89,8.0383
ping,8,90,7.9308
ping,8,91,8.0033
ping,8,92,8.0172
ping,8,93,7.9651
ping,8,94,8.0790
ping,8,95,7.9834
ping,8,96,8.0568
ping,8,97,8.0296
ping,8,98,7.9166
ping,8,99,7.9472
ping,8,100,8.0169
ping,8,101,7.8900
ping,8,102,8.0545
ping,8,103,8.5020
ping,8,104,7.4862
ping,8,105,8.0193
ping,8,106,8.0112
ping,8,107,7.8868
ping,8,108,8.1036
ping,8,109,7.8501
ping,8,110,8.0378
ping,8,111,8.0159
ping,8,112,7.9207
ping,8,113,7.9147
ping,8,114,7.9594
ping,8,115,7.9704
ping,8,116,8.0862
ping,8,117,8.0614
ping,8,118,7.9679
ping,8,119,8.0060
ping,8,120,7.9735
ping,8,121,7.9690
ping,8,122,7.9499
ping,8,123,7.9761
ping,8,124,8.4327
ping,8,125,7.5443
ping,8,126,8.0206
ping,8,127,7.8982
ping,8,128,7.9699
ping,8,129,7.9597
ping,8,130,8.0393
ping,8,131,7.8422
ping,8,132,7.9508
ping,8,133,8.1165
ping,8,134,8.1261
ping,8,135,8.2714
ping,8,136,7.5441
ping,8,137,8.3761
ping,8,138,7.9375
ping,8,139,7.5242
ping,8,140,7.9961
ping,8,141,7.9358
ping,8,142,8.0187
ping,8,143,7.9670
ping,8,144,7.9831
ping,8,145,7.9521
ping,8,146,8.0061
ping,8,147,8.0780
ping,8,148,8.3937
ping,8,149,7.6243
ping,8,150,8.3109
ping,8,151,7.8504
ping,8,152,7.8298
ping,8,153,7.9464
ping,8,154,7.8999
ping,8,155,7.9693
ping,8,156,7.9733
ping,8,157,7.8988
ping,8,158,8.0741
ping,8,159,7.9827
ping,8,160,8.3893
ping,8,161,7.5284
ping,8,162,8.4348
ping,8,163,7.6783
ping,8,164,8.2284
ping,8,165,7.9903
ping,8,166,7.9753
ping,8,167,7.6542
ping,8,168,7.9453
ping,8,169,8.0457
ping,8,170,7.9684
ping,8,171,7.9857
ping,8,172,8.0726
ping,8,173,7.7803
ping,8,174,7.9959
ping,8,175,7.8957
ping,8,176,8.0453
ping,8,177,7.8720
ping,8,178,7.8682
ping,8,179,8.0713
ping,8,180,7.9663
ping,8,181,8.1017
ping,8,182,7.9726
ping,8,183,8.0005
ping,8,184,7.9655
ping,8,185,7.9892
ping,8,186,8.0073
ping,8,187,7.9345
ping,8,188,8.0788
ping,8,189,7.9212
ping,8,190,8.1951
ping,8,191,7.7279
ping,8,192,8.0359
ping,8,193,7.9979
ping,8,194,7.9665
ping,8,195,7.9323
ping,8,196,8.0425
ping,8,197,7.9727
ping,8,198,8.0114
ping,8,199,7.9543
ping,8,200,8.0301
ping,8,201,7.9923
ping,8,202,7.9075
ping,8,203,8.0615
