condition,requested_ms,trial,host_width_ms,scope_width_ms
idle,5.0000,1,5.0224,4.9800
idle,5.0000,2,5.0222,4.9900
idle,5.0000,3,5.0220,4.9900
idle,5.0000,4,5.0060,4.9700
idle,5.0000,5,5.0262,5.0100
idle,5.0000,6,5.0330,5.0000
idle,5.0000,7,5.0299,4.9800
idle,5.0000,8,5.0320,4.9900
idle,5.0000,9,5.0227,4.9700
idle,5.0000,10,5.0672,5.0100
idle,5.0000,11,5.0217,4.9800
idle,5.0000,12,5.0488,4.9900
idle,5.0000,13,5.0326,5.0000
idle,5.0000,14,5.0235,4.9800
idle,5.0000,15,5.0401,4.9800
idle,5.0000,16,5.0215,5.0000
idle,5.0000,17,5.0334,4.9800
idle,5.0000,18,5.0250,4.9900
idle,5.0000,19,5.0214,4.9900
idle,5.0000,20,5.0217,4.9800
idle,5.0000,21,5.0215,4.9900
idle,5.0000,22,5.0496,5.0000
idle,5.0000,23,5.0255,4.9700
idle,5.0000,24,5.0279,4.9900
idle,5.0000,25,5.0370,5.0000
idle,5.0000,26,5.0292,4.9600
idle,5.0000,27,5.0338,5.0000
idle,5.0000,28,5.0287,5.0000
idle,5.0000,29,5.0228,4.9900
idle,5.0000,30,5.0214,4.9700
idle,5.0000,31,5.0058,5.0000
idle,5.0000,32,5.0219,5.0000
idle,5.0000,33,5.0298,5.0100
idle,5.0000,34,5.0224,4.9800
idle,5.0000,35,5.0219,4.9800
idle,5.0000,36,5.0213,4.9900
idle,5.0000,37,5.0251,4.9700
idle,5.0000,38,5.0388,4.9700
idle,5.0000,39,5.0319,5.0000
idle,5.0000,40,5.0216,4.9800
idle,5.0000,41,5.0221,4.9900
idle,5.0000,42,5.0219,4.9900
idle,5.0000,43,5.0205,5.0000
idle,5.0000,44,5.0199,4.9900
idle,5.0000,45,5.0213,4.9900
idle,5.0000,46,5.0222,4.9800
idle,5.0000,47,5.0310,4.9900
idle,5.0000,48,5.0256,4.9800
idle,5.0000,49,5.0252,4.9700
idle,10.0000,0,10.0224,9.9600
idle,10.0000,1,10.0219,9.9800
idle,10.0000,2,10.0223,9.9900
idle,10.0000,3,10.0317,9.9900
idle,10.0000,4,10.0342,10.0000
idle,10.0000,5,10.0206,10.0000
idle,10.0000,6,10.0217,9.9900
idle,10.0000,7,10.0220,9.9900
idle,10.0000,8,10.0209,10.0100
idle,10.0000,9,10.0236,10.0100
idle,10.0000,10,10.0204,9.9900
idle,10.0000,11,10.0257,9.9800
idle,10.0000,12,10.0209,9.9800
idle,10.0000,13,10.0205,9.9000
idle,10.0000,14,10.0313,9.9900
idle,10.0000,15,10.0142,9.9800
idle,10.0000,16,10.0321,9.9200
idle,10.0000,17,10.0213,9.9800
idle,10.0000,18,10.0230,9.9700
idle,10.0000,19,10.0216,9.9800
idle,10.0000,20,10.0216,10.0000
idle,10.0000,21,10.0215,9.9900
idle,10.0000,22,10.0227,9.9700
idle,10.0000,23,10.0052,9.9800
idle,10.0000,24,10.0235,9.9800
idle,10.0000,25,10.0342,10.0000
idle,10.0000,26,10.0213,9.9800
idle,10.0000,27,10.0218,9.9900
idle,10.0000,28,10.0216,9.9800
idle,10.0000,29,10.0218,9.9900
idle,10.0000,30,10.0218,9.9900
idle,10.0000,31,10.0345,9.9900
idle,10.0000,32,10.0346,10.0000
idle,10.0000,33,10.0331,9.9800
idle,10.0000,34,10.0220,9.9600
idle,10.0000,35,10.0454,10.0000
idle,10.0000,36,10.0254,9.9800
idle,10.0000,37,10.0411,10.0000
idle,10.0000,38,10.0451,9.9900
idle,10.0000,39,10.0502,9.9900
idle,10.0000,40,10.0313,9.9900
idle,10.0000,41,10.0376,9.9800
idle,10.0000,42,10.0371,9.9900
idle,10.0000,43,10.0245,9.9900
idle,10.0000,44,10.0250,9.9800
idle,10.0000,45,10.0501,9.9900
idle,10.0000,46,10.0216,9.9800
idle,10.0000,47,10.0247,9.9900
idle,10.0000,48,10.0241,9.9900
idle,10.0000,49,10.0218,9.9800
idle,20.0000,0,20.0301,19.9800
idle,20.0000,1,20.0211,19.9700
idle,20.0000,2,20.0338,20.0000
idle,20.0000,3,20.0408,20.0100
idle,20.0000,4,20.0345,19.9800
idle,20.0000,5,20.0231,19.9900
idle,20.0000,6,20.0251,19.9900
idle,20.0000,7,20.0323,19.9800
idle,20.0000,8,20.0077,19.9500
idle,20.0000,9,20.0231,19.9800
idle,20.0000,10,20.0218,20.0000
