condition,requested_ms,trial,host_width_ms,scope_width_ms
load,5.0000,1,7.4481,7.3600
load,5.0000,2,7.7078,7.6400
load,5.0000,3,6.5402,6.4700
load,5.0000,4,6.4082,6.3300
load,5.0000,5,6.4458,6.3600
load,5.0000,6,5.9123,5.8400
load,5.0000,7,6.3459,6.2800
load,5.0000,8,5.9495,5.8800
load,5.0000,9,6.2866,6.2100
load,5.0000,10,9.6708,9.5500
load,5.0000,11,5.0302,4.9500
load,5.0000,12,7.7752,7.7000
load,5.0000,13,7.2751,7.2000
load,5.0000,14,6.0713,5.9700
load,5.0000,15,6.5845,6.5100
load,5.0000,16,5.8311,5.7500
load,5.0000,17,9.8032,9.7000
load,5.0000,18,6.0178,5.9300
load,5.0000,19,6.3297,6.2600
load,5.0000,20,6.2385,6.1500
load,5.0000,21,7.7427,7.6800
load,5.0000,22,7.2635,7.1800
load,5.0000,23,7.2984,7.2200
load,5.0000,24,7.6842,7.6200
load,5.0000,25,6.3995,6.3300
load,5.0000,26,5.9938,5.9100
load,5.0000,27,6.1632,6.1000
load,5.0000,28,7.5925,7.5100
load,5.0000,29,7.3587,7.2900
load,5.0000,30,6.6023,6.5300
load,5.0000,31,6.2211,6.1500
load,5.0000,32,5.1187,5.0500
load,5.0000,33,6.0176,5.9500
load,5.0000,34,5.9263,5.8500
load,5.0000,35,6.6364,6.5300
load,5.0000,36,7.4553,7.3700
load,5.0000,37,7.4037,7.3000
load,5.0000,38,6.0639,5.9800
load,5.0000,39,8.0387,4.9600
load,5.0000,40,6.6167,6.5400
load,5.0000,41,5.8571,5.7900
load,5.0000,42,7.4630,7.3900
load,5.0000,43,6.0938,6.0300
load,5.0000,44,6.0343,5.9600
load,5.0000,45,6.2307,6.1600
load,5.0000,46,6.2746,6.1900
load,5.0000,47,7.7544,7.6900
load,5.0000,48,7.4236,7.3500
load,5.0000,49,5.9946,5.9200
load,10.0000,0,12.0301,11.9500
load,10.0000,1,12.3081,12.2400
load,10.0000,2,12.0392,11.9600
load,10.0000,3,12.1747,12.1000
load,10.0000,4,12.7184,12.5900
load,10.0000,5,12.5112,12.4500
load,10.0000,6,11.8833,11.8100
load,10.0000,7,11.9211,11.8400
load,10.0000,8,12.1201,12.0500
load,10.0000,9,12.0643,11.9800
load,10.0000,10,11.2569,11.1900
load,10.0000,11,10.0235,9.9500
load,10.0000,12,12.3755,12.3000
load,10.0000,13,11.8616,11.7800
load,10.0000,14,10.0391,9.9700
load,10.0000,15,12.0195,11.9300
load,10.0000,16,11.9747,11.9100
load,10.0000,17,12.0359,11.9600
load,10.0000,18,12.0477,11.9600
load,10.0000,19,12.5734,12.4900
load,10.0000,20,11.8613,11.7900
load,10.0000,21,11.8532,11.7800
load,10.0000,22,10.0401,9.9700
load,10.0000,23,10.0458,9.9700
load,10.0000,24,10.0467,9.9700
load,10.0000,25,12.1688,12.0900
load,10.0000,26,12.0479,11.9700
load,10.0000,27,10.0416,9.9900
load,10.0000,28,10.0490,10.0000
load,10.0000,29,12.4339,12.3600
load,10.0000,30,10.0419,9.9600
load,10.0000,31,13.0529,9.9600
load,10.0000,32,12.0117,11.9300
load,10.0000,33,12.5246,12.4700
load,10.0000,34,13.0336,12.9600
load,10.0000,35,11.9288,11.8600
load,10.0000,36,10.0325,9.9600
load,10.0000,37,10.0394,9.9700
load,10.0000,38,11.9457,11.8700
load,10.0000,39,10.0330,9.9600
load,10.0000,40,10.0385,9.9700
load,10.0000,41,12.4559,12.3800
load,10.0000,42,10.7934,10.6500
load,10.0000,43,11.5022,11.4300
load,10.0000,44,12.7766,12.7000
load,10.0000,45,11.8688,11.7900
load,10.0000,46,10.0272,9.9500
