condition,policy,priority,requested_ms,trial,host_width_ms,scope_width_ms
rt,SCHED_FIFO,50,5.0000,1,5.0235,4.9400
rt,SCHED_FIFO,50,5.0000,2,5.0496,4.9500
rt,SCHED_FIFO,50,5.0000,3,5.0439,4.9300
rt,SCHED_FIFO,50,5.0000,4,5.0374,4.9300
rt,SCHED_FIFO,50,5.0000,5,5.0193,4.9800
rt,SCHED_FIFO,50,5.0000,6,5.0350,4.9400
rt,SCHED_FIFO,50,5.0000,7,5.0185,4.9300
rt,SCHED_FIFO,50,5.0000,8,5.0413,4.9600
rt,SCHED_FIFO,50,5.0000,9,5.0354,4.9400
rt,SCHED_FIFO,50,5.0000,10,5.0386,4.9500
rt,SCHED_FIFO,50,5.0000,11,5.0339,4.9400
rt,SCHED_FIFO,50,5.0000,12,5.0372,4.9300
rt,SCHED_FIFO,50,5.0000,13,5.0375,4.9400
rt,SCHED_FIFO,50,5.0000,14,5.0371,4.9400
rt,SCHED_FIFO,50,5.0000,15,5.0358,4.9900
rt,SCHED_FIFO,50,5.0000,16,5.0549,4.9500
rt,SCHED_FIFO,50,5.0000,17,5.0393,4.9400
rt,SCHED_FIFO,50,5.0000,18,5.0580,4.9500
rt,SCHED_FIFO,50,5.0000,19,5.0948,4.9600
rt,SCHED_FIFO,50,5.0000,20,5.0390,4.9500
rt,SCHED_FIFO,50,5.0000,21,5.0370,4.9400
rt,SCHED_FIFO,50,5.0000,22,5.0370,4.9400
rt,SCHED_FIFO,50,5.0000,23,5.0428,4.9300
rt,SCHED_FIFO,50,5.0000,24,5.0354,4.9300
rt,SCHED_FIFO,50,5.0000,25,5.0379,4.9500
rt,SCHED_FIFO,50,5.0000,26,5.0375,4.9400
rt,SCHED_FIFO,50,5.0000,27,5.0350,4.9400
rt,SCHED_FIFO,50,5.0000,28,5.0381,4.9800
rt,SCHED_FIFO,50,5.0000,29,5.0395,4.8700
rt,SCHED_FIFO,50,5.0000,30,5.1089,4.9800
rt,SCHED_FIFO,50,5.0000,31,5.0391,4.9300
rt,SCHED_FIFO,50,5.0000,32,5.0359,4.9400
rt,SCHED_FIFO,50,5.0000,33,5.0332,4.9200
rt,SCHED_FIFO,50,5.0000,34,5.0463,4.9500
rt,SCHED_FIFO,50,5.0000,35,5.0423,4.9300
rt,SCHED_FIFO,50,5.0000,36,5.0313,4.9700
rt,SCHED_FIFO,50,5.0000,37,5.0380,4.9500
rt,SCHED_FIFO,50,5.0000,38,5.0401,4.9600
