condition,device,policy,priority,requested_ms,trial,host_width_ms,scope_width_ms
idle,ttlbox,SCHED_OTHER,0,5.0000,1,nan,4.7200
idle,ttlbox,SCHED_OTHER,0,5.0000,2,nan,4.5600
idle,ttlbox,SCHED_OTHER,0,5.0000,3,nan,5.0000
idle,ttlbox,SCHED_OTHER,0,5.0000,4,nan,4.8000
idle,ttlbox,SCHED_OTHER,0,5.0000,5,nan,4.8800
idle,ttlbox,SCHED_OTHER,0,5.0000,6,nan,4.9900
idle,ttlbox,SCHED_OTHER,0,5.0000,7,nan,4.5200
idle,ttlbox,SCHED_OTHER,0,5.0000,8,nan,4.8400
idle,ttlbox,SCHED_OTHER,0,5.0000,9,nan,5.0400
idle,ttlbox,SCHED_OTHER,0,5.0000,10,nan,5.0400
idle,ttlbox,SCHED_OTHER,0,5.0000,11,nan,4.6200
idle,ttlbox,SCHED_OTHER,0,5.0000,12,nan,4.1700
idle,ttlbox,SCHED_OTHER,0,5.0000,13,nan,4.9900
idle,ttlbox,SCHED_OTHER,0,5.0000,14,nan,4.4800
idle,ttlbox,SCHED_OTHER,0,5.0000,15,nan,4.4700
idle,ttlbox,SCHED_OTHER,0,5.0000,16,nan,4.3400
idle,ttlbox,SCHED_OTHER,0,5.0000,17,nan,4.3200
idle,ttlbox,SCHED_OTHER,0,5.0000,18,nan,4.1700
idle,ttlbox,SCHED_OTHER,0,5.0000,19,nan,5.0700
idle,ttlbox,SCHED_OTHER,0,5.0000,20,nan,4.1200
idle,ttlbox,SCHED_OTHER,0,5.0000,21,nan,4.6900
idle,ttlbox,SCHED_OTHER,0,5.0000,22,nan,4.2600
idle,ttlbox,SCHED_OTHER,0,5.0000,23,nan,4.5300
idle,ttlbox,SCHED_OTHER,0,5.0000,24,nan,3.6500
idle,ttlbox,SCHED_OTHER,0,5.0000,25,nan,4.1200
idle,ttlbox,SCHED_OTHER,0,5.0000,26,nan,4.5200
idle,ttlbox,SCHED_OTHER,0,5.0000,27,nan,4.4500
idle,ttlbox,SCHED_OTHER,0,5.0000,28,nan,4.8700
idle,ttlbox,SCHED_OTHER,0,5.0000,29,nan,4.9100
idle,ttlbox,SCHED_OTHER,0,5.0000,30,nan,5.1300
idle,ttlbox,SCHED_OTHER,0,5.0000,31,nan,4.1200
idle,ttlbox,SCHED_OTHER,0,5.0000,32,nan,5.1200
idle,ttlbox,SCHED_OTHER,0,5.0000,33,nan,4.4400
idle,ttlbox,SCHED_OTHER,0,5.0000,34,nan,4.3900
idle,ttlbox,SCHED_OTHER,0,5.0000,35,nan,4.7700
idle,ttlbox,SCHED_OTHER,0,5.0000,36,nan,4.1900
idle,ttlbox,SCHED_OTHER,0,5.0000,37,nan,4.9900
idle,ttlbox,SCHED_OTHER,0,5.0000,38,nan,4.8800
idle,ttlbox,SCHED_OTHER,0,5.0000,39,nan,4.8200
idle,ttlbox,SCHED_OTHER,0,5.0000,40,nan,4.5600
idle,ttlbox,SCHED_OTHER,0,5.0000,41,nan,4.4700
idle,ttlbox,SCHED_OTHER,0,5.0000,42,nan,4.1200
idle,ttlbox,SCHED_OTHER,0,5.0000,43,nan,4.3800
idle,ttlbox,SCHED_OTHER,0,5.0000,44,nan,4.4700
idle,ttlbox,SCHED_OTHER,0,5.0000,45,nan,4.6100
idle,ttlbox,SCHED_OTHER,0,5.0000,46,nan,4.2700
idle,ttlbox,SCHED_OTHER,0,5.0000,47,nan,3.1700
idle,ttlbox,SCHED_OTHER,0,5.0000,48,nan,4.4400
idle,ttlbox,SCHED_OTHER,0,5.0000,49,nan,3.7200
idle,ttlbox,SCHED_OTHER,0,10.0000,0,nan,10.2100
idle,ttlbox,SCHED_OTHER,0,10.0000,1,nan,8.6500
idle,ttlbox,SCHED_OTHER,0,10.0000,2,nan,9.9800
idle,ttlbox,SCHED_OTHER,0,10.0000,3,nan,9.1900
idle,ttlbox,SCHED_OTHER,0,10.0000,4,nan,9.5400
idle,ttlbox,SCHED_OTHER,0,10.0000,5,nan,10.1900
idle,ttlbox,SCHED_OTHER,0,10.0000,6,nan,10.0600
idle,ttlbox,SCHED_OTHER,0,10.0000,7,nan,10.0700
idle,ttlbox,SCHED_OTHER,0,10.0000,8,nan,9.4700
idle,ttlbox,SCHED_OTHER,0,10.0000,9,nan,9.3800
idle,ttlbox,SCHED_OTHER,0,10.0000,10,nan,9.7500
idle,ttlbox,SCHED_OTHER,0,10.0000,11,nan,9.0000
idle,ttlbox,SCHED_OTHER,0,10.0000,12,nan,9.2800
idle,ttlbox,SCHED_OTHER,0,10.0000,13,nan,9.2500
idle,ttlbox,SCHED_OTHER,0,10.0000,14,nan,8.5500
idle,ttlbox,SCHED_OTHER,0,10.0000,15,nan,9.7800
idle,ttlbox,SCHED_OTHER,0,10.0000,16,nan,10.0900
idle,ttlbox,SCHED_OTHER,0,10.0000,17,nan,9.7000
idle,ttlbox,SCHED_OTHER,0,10.0000,18,nan,9.9600
idle,ttlbox,SCHED_OTHER,0,10.0000,19,nan,9.2600
idle,ttlbox,SCHED_OTHER,0,10.0000,20,nan,10.0900
idle,ttlbox,SCHED_OTHER,0,10.0000,21,nan,10.0600
idle,ttlbox,SCHED_OTHER,0,10.0000,22,nan,9.8800
idle,ttlbox,SCHED_OTHER,0,10.0000,23,nan,9.2900
idle,ttlbox,SCHED_OTHER,0,10.0000,24,nan,9.9300
idle,ttlbox,SCHED_OTHER,0,10.0000,25,nan,10.0000
idle,ttlbox,SCHED_OTHER,0,10.0000,26,nan,8.8900
idle,ttlbox,SCHED_OTHER,0,10.0000,27,nan,8.7900
idle,ttlbox,SCHED_OTHER,0,10.0000,28,nan,10.2400
idle,ttlbox,SCHED_OTHER,0,10.0000,29,nan,9.4900
idle,ttlbox,SCHED_OTHER,0,10.0000,30,nan,9.5900
idle,ttlbox,SCHED_OTHER,0,10.0000,31,nan,8.7200
idle,ttlbox,SCHED_OTHER,0,10.0000,32,nan,9.0700
idle,ttlbox,SCHED_OTHER,0,10.0000,33,nan,8.4000
idle,ttlbox,SCHED_OTHER,0,10.0000,34,nan,8.2400
idle,ttlbox,SCHED_OTHER,0,10.0000,35,nan,9.6700
