condition,device,policy,priority,requested_ms,trial,host_width_ms,scope_width_ms
load,ttlbox,SCHED_OTHER,0,5.0000,1,nan,5.0400
load,ttlbox,SCHED_OTHER,0,5.0000,2,nan,4.8300
load,ttlbox,SCHED_OTHER,0,5.0000,3,nan,4.6100
load,ttlbox,SCHED_OTHER,0,5.0000,4,nan,4.8500
load,ttlbox,SCHED_OTHER,0,5.0000,5,nan,3.5700
load,ttlbox,SCHED_OTHER,0,5.0000,6,nan,4.4700
load,ttlbox,SCHED_OTHER,0,5.0000,7,nan,4.8200
load,ttlbox,SCHED_OTHER,0,5.0000,8,nan,4.8800
load,ttlbox,SCHED_OTHER,0,5.0000,9,nan,4.3200
load,ttlbox,SCHED_OTHER,0,5.0000,10,nan,5.1000
load,ttlbox,SCHED_OTHER,0,5.0000,11,nan,4.3300
load,ttlbox,SCHED_OTHER,0,5.0000,12,nan,4.9800
load,ttlbox,SCHED_OTHER,0,5.0000,13,nan,4.7100
load,ttlbox,SCHED_OTHER,0,5.0000,14,nan,5.0200
load,ttlbox,SCHED_OTHER,0,5.0000,15,nan,4.5300
load,ttlbox,SCHED_OTHER,0,5.0000,16,nan,4.9400
load,ttlbox,SCHED_OTHER,0,5.0000,17,nan,4.9700
load,ttlbox,SCHED_OTHER,0,5.0000,18,nan,4.6000
load,ttlbox,SCHED_OTHER,0,5.0000,19,nan,4.4100
load,ttlbox,SCHED_OTHER,0,5.0000,20,nan,4.3600
load,ttlbox,SCHED_OTHER,0,5.0000,21,nan,4.4600
load,ttlbox,SCHED_OTHER,0,5.0000,22,nan,4.4100
load,ttlbox,SCHED_OTHER,0,5.0000,23,nan,5.0600
load,ttlbox,SCHED_OTHER,0,5.0000,24,nan,4.1500
load,ttlbox,SCHED_OTHER,0,5.0000,25,nan,4.4500
load,ttlbox,SCHED_OTHER,0,5.0000,26,nan,4.6700
load,ttlbox,SCHED_OTHER,0,5.0000,27,nan,5.0200
load,ttlbox,SCHED_OTHER,0,5.0000,28,nan,4.6000
load,ttlbox,SCHED_OTHER,0,5.0000,29,nan,4.5800
load,ttlbox,SCHED_OTHER,0,5.0000,30,nan,3.9600
load,ttlbox,SCHED_OTHER,0,5.0000,31,nan,5.1200
load,ttlbox,SCHED_OTHER,0,5.0000,32,nan,4.4700
load,ttlbox,SCHED_OTHER,0,5.0000,33,nan,5.0600
load,ttlbox,SCHED_OTHER,0,5.0000,34,nan,4.5300
load,ttlbox,SCHED_OTHER,0,5.0000,35,nan,4.9400
load,ttlbox,SCHED_OTHER,0,5.0000,36,nan,4.8600
load,ttlbox,SCHED_OTHER,0,5.0000,37,nan,3.6200
load,ttlbox,SCHED_OTHER,0,5.0000,38,nan,4.1500
load,ttlbox,SCHED_OTHER,0,5.0000,39,nan,4.1600
load,ttlbox,SCHED_OTHER,0,5.0000,40,nan,4.6900
load,ttlbox,SCHED_OTHER,0,5.0000,41,nan,5.0100
load,ttlbox,SCHED_OTHER,0,5.0000,42,nan,4.9300
load,ttlbox,SCHED_OTHER,0,5.0000,43,nan,4.8000
load,ttlbox,SCHED_OTHER,0,5.0000,44,nan,4.6200
load,ttlbox,SCHED_OTHER,0,5.0000,45,nan,5.0900
load,ttlbox,SCHED_OTHER,0,5.0000,46,nan,4.8000
load,ttlbox,SCHED_OTHER,0,5.0000,47,nan,4.6400
load,ttlbox,SCHED_OTHER,0,5.0000,48,nan,4.2800
load,ttlbox,SCHED_OTHER,0,5.0000,49,nan,4.9800
load,ttlbox,SCHED_OTHER,0,10.0000,0,nan,9.6100
load,ttlbox,SCHED_OTHER,0,10.0000,1,nan,9.9700
load,ttlbox,SCHED_OTHER,0,10.0000,2,nan,9.4700
load,ttlbox,SCHED_OTHER,0,10.0000,3,nan,9.9200
load,ttlbox,SCHED_OTHER,0,10.0000,4,nan,9.4300
load,ttlbox,SCHED_OTHER,0,10.0000,5,nan,9.4400
load,ttlbox,SCHED_OTHER,0,10.0000,6,nan,9.8600
load,ttlbox,SCHED_OTHER,0,10.0000,7,nan,9.9400
load,ttlbox,SCHED_OTHER,0,10.0000,8,nan,9.8600
load,ttlbox,SCHED_OTHER,0,10.0000,9,nan,9.2900
load,ttlbox,SCHED_OTHER,0,10.0000,10,nan,9.8700
load,ttlbox,SCHED_OTHER,0,10.0000,11,nan,9.7400
load,ttlbox,SCHED_OTHER,0,10.0000,12,nan,9.5400
load,ttlbox,SCHED_OTHER,0,10.0000,13,nan,8.5100
load,ttlbox,SCHED_OTHER,0,10.0000,14,nan,9.4500
load,ttlbox,SCHED_OTHER,0,10.0000,15,nan,8.3200
load,ttlbox,SCHED_OTHER,0,10.0000,16,nan,8.5600
load,ttlbox,SCHED_OTHER,0,10.0000,17,nan,10.1500
load,ttlbox,SCHED_OTHER,0,10.0000,18,nan,9.8600
load,ttlbox,SCHED_OTHER,0,10.0000,19,nan,9.7600
load,ttlbox,SCHED_OTHER,0,10.0000,20,nan,10.1900
load,ttlbox,SCHED_OTHER,0,10.0000,21,nan,8.2100
load,ttlbox,SCHED_OTHER,0,10.0000,22,nan,10.1800
load,ttlbox,SCHED_OTHER,0,10.0000,23,nan,9.9700
load,ttlbox,SCHED_OTHER,0,10.0000,24,nan,9.3800
load,ttlbox,SCHED_OTHER,0,10.0000,25,nan,9.5700
load,ttlbox,SCHED_OTHER,0,10.0000,26,nan,10.0900
load,ttlbox,SCHED_OTHER,0,10.0000,27,nan,9.9400
load,ttlbox,SCHED_OTHER,0,10.0000,28,nan,9.7300
load,ttlbox,SCHED_OTHER,0,10.0000,29,nan,9.6400
load,ttlbox,SCHED_OTHER,0,10.0000,30,nan,9.2900
load,ttlbox,SCHED_OTHER,0,10.0000,31,nan,8.7700
load,ttlbox,SCHED_OTHER,0,10.0000,32,nan,10.2200
load,ttlbox,SCHED_OTHER,0,10.0000,33,nan,9.3700
load,ttlbox,SCHED_OTHER,0,10.0000,34,nan,9.0800
load,ttlbox,SCHED_OTHER,0,10.0000,35,nan,9.8600
load,ttlbox,SCHED_OTHER,0,10.0000,36,nan,8.7800
load,ttlbox,SCHED_OTHER,0,10.0000,37,nan,9.5400
load,ttlbox,SCHED_OTHER,0,10.0000,38,nan,9.4100
load,ttlbox,SCHED_OTHER,0,10.0000,39,nan,9.9800
load,ttlbox,SCHED_OTHER,0,10.0000,40,nan,10.0400
load,ttlbox,SCHED_OTHER,0,10.0000,41,nan,10.0200
load,ttlbox,SCHED_OTHER,0,10.0000,42,nan,9.6700
