condition,device,policy,priority,requested_ms,trial,host_width_ms,scope_width_ms
rt,ttlbox,SCHED_FIFO,50,5.0000,1,nan,4.5900
rt,ttlbox,SCHED_FIFO,50,5.0000,2,nan,4.8000
rt,ttlbox,SCHED_FIFO,50,5.0000,3,nan,5.1200
rt,ttlbox,SCHED_FIFO,50,5.0000,4,nan,4.2300
rt,ttlbox,SCHED_FIFO,50,5.0000,5,nan,4.8700
rt,ttlbox,SCHED_FIFO,50,5.0000,6,nan,4.6800
rt,ttlbox,SCHED_FIFO,50,5.0000,7,nan,4.6400
rt,ttlbox,SCHED_FIFO,50,5.0000,8,nan,4.9800
rt,ttlbox,SCHED_FIFO,50,5.0000,9,nan,3.2000
rt,ttlbox,SCHED_FIFO,50,5.0000,10,nan,4.3400
rt,ttlbox,SCHED_FIFO,50,5.0000,11,nan,5.1000
rt,ttlbox,SCHED_FIFO,50,5.0000,12,nan,4.3900
rt,ttlbox,SCHED_FIFO,50,5.0000,13,nan,4.6400
rt,ttlbox,SCHED_FIFO,50,5.0000,14,nan,4.2000
rt,ttlbox,SCHED_FIFO,50,5.0000,15,nan,4.2800
rt,ttlbox,SCHED_FIFO,50,5.0000,16,nan,4.5800
rt,ttlbox,SCHED_FIFO,50,5.0000,17,nan,4.2900
rt,ttlbox,SCHED_FIFO,50,5.0000,18,nan,4.5600
rt,ttlbox,SCHED_FIFO,50,5.0000,19,nan,4.7100
rt,ttlbox,SCHED_FIFO,50,5.0000,20,nan,4.6400
rt,ttlbox,SCHED_FIFO,50,5.0000,21,nan,4.6400
rt,ttlbox,SCHED_FIFO,50,5.0000,22,nan,4.9100
rt,ttlbox,SCHED_FIFO,50,5.0000,23,nan,4.8600
rt,ttlbox,SCHED_FIFO,50,5.0000,24,nan,3.7900
rt,ttlbox,SCHED_FIFO,50,5.0000,25,nan,5.0200
rt,ttlbox,SCHED_FIFO,50,5.0000,26,nan,4.7100
rt,ttlbox,SCHED_FIFO,50,5.0000,27,nan,3.5300
rt,ttlbox,SCHED_FIFO,50,5.0000,28,nan,4.6900
rt,ttlbox,SCHED_FIFO,50,5.0000,29,nan,4.3300
rt,ttlbox,SCHED_FIFO,50,5.0000,30,nan,4.5500
rt,ttlbox,SCHED_FIFO,50,5.0000,31,nan,4.5700
rt,ttlbox,SCHED_FIFO,50,5.0000,32,nan,4.6300
rt,ttlbox,SCHED_FIFO,50,5.0000,33,nan,4.5300
rt,ttlbox,SCHED_FIFO,50,5.0000,34,nan,4.5300
rt,ttlbox,SCHED_FIFO,50,5.0000,35,nan,4.0800
rt,ttlbox,SCHED_FIFO,50,5.0000,36,nan,4.9600
rt,ttlbox,SCHED_FIFO,50,5.0000,37,nan,4.2600
rt,ttlbox,SCHED_FIFO,50,5.0000,38,nan,4.0100
rt,ttlbox,SCHED_FIFO,50,5.0000,39,nan,4.2300
rt,ttlbox,SCHED_FIFO,50,5.0000,40,nan,4.4700
rt,ttlbox,SCHED_FIFO,50,5.0000,41,nan,5.0000
rt,ttlbox,SCHED_FIFO,50,5.0000,42,nan,4.4300
rt,ttlbox,SCHED_FIFO,50,5.0000,43,nan,4.9400
rt,ttlbox,SCHED_FIFO,50,5.0000,44,nan,4.7300
rt,ttlbox,SCHED_FIFO,50,5.0000,45,nan,4.6100
rt,ttlbox,SCHED_FIFO,50,5.0000,46,nan,4.9600
rt,ttlbox,SCHED_FIFO,50,5.0000,47,nan,3.6100
rt,ttlbox,SCHED_FIFO,50,5.0000,48,nan,4.1200
rt,ttlbox,SCHED_FIFO,50,5.0000,49,nan,3.4500
rt,ttlbox,SCHED_FIFO,50,10.0000,0,nan,10.0500
rt,ttlbox,SCHED_FIFO,50,10.0000,1,nan,10.1800
rt,ttlbox,SCHED_FIFO,50,10.0000,2,nan,9.9900
rt,ttlbox,SCHED_FIFO,50,10.0000,3,nan,9.1800
rt,ttlbox,SCHED_FIFO,50,10.0000,4,nan,9.6900
rt,ttlbox,SCHED_FIFO,50,10.0000,5,nan,9.5300
rt,ttlbox,SCHED_FIFO,50,10.0000,6,nan,9.6600
rt,ttlbox,SCHED_FIFO,50,10.0000,7,nan,9.7900
rt,ttlbox,SCHED_FIFO,50,10.0000,8,nan,9.6900
rt,ttlbox,SCHED_FIFO,50,10.0000,9,nan,10.1000
rt,ttlbox,SCHED_FIFO,50,10.0000,10,nan,9.2700
rt,ttlbox,SCHED_FIFO,50,10.0000,11,nan,8.6800
rt,ttlbox,SCHED_FIFO,50,10.0000,12,nan,9.3800
rt,ttlbox,SCHED_FIFO,50,10.0000,13,nan,8.5800
rt,ttlbox,SCHED_FIFO,50,10.0000,14,nan,10.1200
rt,ttlbox,SCHED_FIFO,50,10.0000,15,nan,9.8800
rt,ttlbox,SCHED_FIFO,50,10.0000,16,nan,10.0200
rt,ttlbox,SCHED_FIFO,50,10.0000,17,nan,10.1200
rt,ttlbox,SCHED_FIFO,50,10.0000,18,nan,9.9100
rt,ttlbox,SCHED_FIFO,50,10.0000,19,nan,9.2800
rt,ttlbox,SCHED_FIFO,50,10.0000,20,nan,9.5400
rt,ttlbox,SCHED_FIFO,50,10.0000,21,nan,9.5900
rt,ttlbox,SCHED_FIFO,50,10.0000,22,nan,9.3200
rt,ttlbox,SCHED_FIFO,50,10.0000,23,nan,9.2400
rt,ttlbox,SCHED_FIFO,50,10.0000,24,nan,9.7600
rt,ttlbox,SCHED_FIFO,50,10.0000,25,nan,9.6900
rt,ttlbox,SCHED_FIFO,50,10.0000,26,nan,9.8300
rt,ttlbox,SCHED_FIFO,50,10.0000,27,nan,9.3800
rt,ttlbox,SCHED_FIFO,50,10.0000,28,nan,9.7400
rt,ttlbox,SCHED_FIFO,50,10.0000,29,nan,10.1700
rt,ttlbox,SCHED_FIFO,50,10.0000,30,nan,9.7500
rt,ttlbox,SCHED_FIFO,50,10.0000,31,nan,9.5400
rt,ttlbox,SCHED_FIFO,50,10.0000,32,nan,9.7800
rt,ttlbox,SCHED_FIFO,50,10.0000,33,nan,9.7500
rt,ttlbox,SCHED_FIFO,50,10.0000,34,nan,9.8000
rt,ttlbox,SCHED_FIFO,50,10.0000,35,nan,9.1800
rt,ttlbox,SCHED_FIFO,50,10.0000,36,nan,9.6800
rt,ttlbox,SCHED_FIFO,50,10.0000,37,nan,9.0000
rt,ttlbox,SCHED_FIFO,50,10.0000,38,nan,10.2200
rt,ttlbox,SCHED_FIFO,50,10.0000,39,nan,8.2900
rt,ttlbox,SCHED_FIFO,50,10.0000,40,nan,10.0500
rt,ttlbox,SCHED_FIFO,50,10.0000,41,nan,9.3500
rt,ttlbox,SCHED_FIFO,50,10.0000,42,nan,10.0800
rt,ttlbox,SCHED_FIFO,50,10.0000,43,nan,9.9400
rt,ttlbox,SCHED_FIFO,50,10.0000,44,nan,9.8300
rt,ttlbox,SCHED_FIFO,50,10.0000,45,nan,10.1400
rt,ttlbox,SCHED_FIFO,50,10.0000,46,nan,9.3000
rt,ttlbox,SCHED_FIFO,50,10.0000,47,nan,9.3400
rt,ttlbox,SCHED_FIFO,50,10.0000,48,nan,9.6000
rt,ttlbox,SCHED_FIFO,50,10.0000,49,nan,9.6200
rt,ttlbox,SCHED_FIFO,50,20.0000,0,nan,19.7200
rt,ttlbox,SCHED_FIFO,50,20.0000,1,nan,18.6100
