pattern,ref_dlp_ch,trial,scope_ch,byte_separation,delay_us
forward,1,1,2,5,434.3600
forward,1,1,3,6,517.2600
forward,1,1,4,7,610.1400
forward,1,2,2,5,434.7300
forward,1,2,3,6,527.4100
forward,1,2,4,7,610.4200
forward,1,3,2,5,424.0300
forward,1,3,3,6,516.2400
forward,1,3,4,7,599.4700
forward,1,4,2,5,433.6000
forward,1,4,3,6,516.4800
forward,1,4,4,7,599.3500
forward,1,5,2,5,434.1300
forward,1,5,3,6,526.6300
forward,1,5,4,7,609.4700
forward,1,6,2,5,434.1000
forward,1,6,3,6,517.1200
forward,1,6,4,7,609.8000
forward,1,7,2,5,433.5500
forward,1,7,3,6,516.3700
forward,1,7,4,7,599.5500
forward,1,8,2,5,434.7800
forward,1,8,3,6,517.6400
forward,1,8,4,7,609.8300
forward,1,9,2,5,434.2400
forward,1,9,3,6,517.2100
forward,1,9,4,7,600.1700
forward,1,10,2,5,433.6600
forward,1,10,3,6,516.5900
forward,1,10,4,7,599.8600
forward,1,11,2,5,434.6300
forward,1,11,3,6,517.6100
forward,1,11,4,7,609.9200
forward,1,12,2,5,435.0500
forward,1,12,3,6,527.8300
forward,1,12,4,7,610.8600
forward,1,13,2,5,433.8600
forward,1,13,3,6,526.4600
forward,1,13,4,7,609.3900
forward,1,14,2,5,433.9900
forward,1,14,3,6,516.8400
forward,1,14,4,7,600.0100
forward,1,15,2,5,433.9900
forward,1,15,3,6,526.9200
forward,1,15,4,7,609.8500
forward,1,16,2,5,434.0200
forward,1,16,3,6,516.9300
forward,1,16,4,7,609.8200
forward,1,17,2,5,434.3600
forward,1,17,3,6,527.0400
forward,1,17,4,7,610.0400
forward,1,18,2,5,434.8700
forward,1,18,3,6,517.9200
forward,1,18,4,7,610.9800
forward,1,19,2,5,434.5100
forward,1,19,3,6,517.5100
forward,1,19,4,7,610.2400
forward,1,20,2,5,434.4900
forward,1,20,3,6,517.7300
forward,1,20,4,7,610.3000
forward,1,21,2,5,434.0400
forward,1,21,3,6,516.9600
forward,1,21,4,7,600.2200
forward,1,22,2,5,434.4300
forward,1,22,3,6,517.5100
forward,1,22,4,7,600.9200
forward,1,23,2,5,424.6100
forward,1,23,3,6,517.1300
forward,1,23,4,7,599.9600
forward,1,24,2,5,433.2800
forward,1,24,3,6,516.4500
forward,1,24,4,7,608.9400
forward,1,25,2,5,435.4800
forward,1,25,3,6,528.2300
forward,1,25,4,7,611.6300
forward,1,26,2,5,425.5200
forward,1,26,3,6,518.2000
forward,1,26,4,7,601.2200
forward,1,27,2,5,434.4500
forward,1,27,3,6,527.4100
forward,1,27,4,7,610.3500
forward,1,28,2,5,434.0500
forward,1,28,3,6,526.6500
forward,1,28,4,7,609.4600
forward,1,29,2,5,434.7900
forward,1,29,3,6,517.8900
forward,1,29,4,7,611.0000
forward,1,30,2,5,434.6000
forward,1,30,3,6,517.6600
forward,1,30,4,7,610.6100
forward,1,31,2,5,434.2400
forward,1,31,3,6,517.0500
forward,1,31,4,7,599.8600
forward,1,32,2,5,435.6400
forward,1,32,3,6,518.8300
forward,1,32,4,7,612.0400
forward,1,33,2,5,433.8800
forward,1,33,3,6,526.4800
forward,1,33,4,7,609.8000
forward,1,34,2,5,434.6500
forward,1,34,3,6,527.5800
forward,1,34,4,7,610.5300
forward,1,35,2,5,434.2300
forward,1,35,3,6,526.8700
forward,1,35,4,7,609.9700
forward,1,36,2,5,433.9400
forward,1,36,3,6,516.5300
forward,1,36,4,7,609.0100
forward,1,37,2,5,434.6500
forward,1,37,3,6,517.9800
forward,1,37,4,7,600.9800
forward,1,38,2,5,434.3100
forward,1,38,3,6,527.3000
forward,1,38,4,7,610.3000
forward,1,39,2,5,435.3500
forward,1,39,3,6,518.4200
forward,1,39,4,7,611.6000
forward,1,40,2,5,432.9000
forward,1,40,3,6,525.3500
forward,1,40,4,7,608.1600
forward,1,41,2,5,434.7800
forward,1,41,3,6,527.7900
forward,1,41,4,7,610.7500
forward,1,42,2,5,433.9500
forward,1,42,3,6,516.5500
forward,1,42,4,7,609.1300
forward,1,43,2,5,433.8600
forward,1,43,3,6,516.7200
forward,1,43,4,7,609.2000
forward,1,44,2,5,433.0800
forward,1,44,3,6,525.7900
forward,1,44,4,7,608.5300
forward,1,45,2,5,434.4200
forward,1,45,3,6,517.3700
forward,1,45,4,7,610.3200
forward,1,46,2,5,434.7600
forward,1,46,3,6,517.7200
forward,1,46,4,7,600.7400
forward,1,47,2,5,434.2300
forward,1,47,3,6,526.8000
forward,1,47,4,7,609.7000
forward,1,48,2,5,433.9500
forward,1,48,3,6,516.8000
forward,1,48,4,7,599.6400
forward,1,49,2,5,434.1800
forward,1,49,3,6,517.2400
forward,1,49,4,7,600.7100
forward,1,50,2,5,434.7000
forward,1,50,3,6,517.3100
forward,1,50,4,7,610.0100
forward,1,51,2,5,434.9600
forward,1,51,3,6,527.6900
forward,1,51,4,7,610.7500
forward,1,52,2,5,425.1700
forward,1,52,3,6,518.2000
forward,1,52,4,7,600.9000
forward,1,53,2,5,424.3600
forward,1,53,3,6,516.4900
forward,1,53,4,7,599.3100
forward,1,54,2,5,433.1400
forward,1,54,3,6,525.2000
forward,1,54,4,7,608.2900
forward,1,55,2,5,434.2000
forward,1,55,3,6,517.1700
forward,1,55,4,7,600.1300
forward,1,56,2,5,433.4700
forward,1,56,3,6,516.2900
forward,1,56,4,7,608.7900
forward,1,57,2,5,434.6400
forward,1,57,3,6,527.5600
forward,1,57,4,7,610.4900
forward,1,58,2,5,434.6900
forward,1,58,3,6,517.7300
forward,1,58,4,7,610.4400
forward,1,59,2,5,433.5900
forward,1,59,3,6,516.5100
forward,1,59,4,7,599.7600
forward,1,60,2,5,435.1300
forward,1,60,3,6,527.9200
forward,1,60,4,7,611.0300
forward,1,61,2,5,434.6900
forward,1,61,3,6,517.6700
forward,1,61,4,7,610.6400
forward,1,62,2,5,435.2000
forward,1,62,3,6,517.9900
forward,1,62,4,7,601.1500
forward,1,63,2,5,432.8000
forward,1,63,3,6,515.4600
forward,1,63,4,7,597.7900
forward,1,64,2,5,434.1400
forward,1,64,3,6,527.1000
forward,1,64,4,7,610.0600
forward,1,65,2,5,434.2500
forward,1,65,3,6,517.1700
forward,1,65,4,7,609.7400
forward,1,66,2,5,433.4300
forward,1,66,3,6,516.8300
forward,1,66,4,7,609.5600
forward,1,67,2,5,433.9800
forward,1,67,3,6,526.6100
forward,1,67,4,7,609.5800
forward,1,68,2,5,424.8400
forward,1,68,3,6,517.8100
forward,1,68,4,7,600.7800
forward,1,69,2,5,434.5000
forward,1,69,3,6,517.4000
forward,1,69,4,7,600.3100
forward,1,70,2,5,433.8100
forward,1,70,3,6,526.2900
forward,1,70,4,7,609.1100
forward,1,71,2,5,434.7300
forward,1,71,3,6,517.7400
forward,1,71,4,7,610.7600
forward,1,72,2,5,433.5100
forward,1,72,3,6,516.3500
forward,1,72,4,7,599.3000
forward,1,73,2,5,434.6700
forward,1,73,3,6,527.3900
forward,1,73,4,7,610.3700
forward,1,74,2,5,433.9500
forward,1,74,3,6,516.4700
forward,1,74,4,7,609.2400
forward,1,75,2,5,424.9600
forward,1,75,3,6,517.5600
forward,1,75,4,7,600.5100
forward,1,76,2,5,435.0300
forward,1,76,3,6,527.7100
forward,1,76,4,7,610.7100
forward,1,77,2,5,424.5300
forward,1,77,3,6,517.2200
forward,1,77,4,7,600.2500
forward,1,78,2,5,434.4000
forward,1,78,3,6,517.3100
forward,1,78,4,7,609.6100
forward,1,79,2,5,435.3200
forward,1,79,3,6,518.4000
forward,1,79,4,7,601.4700
forward,1,80,2,5,434.7400
forward,1,80,3,6,517.7700
forward,1,80,4,7,610.4600
forward,1,81,2,5,434.5600
forward,1,81,3,6,517.5400
forward,1,81,4,7,610.5100
forward,1,82,2,5,434.6900
forward,1,82,3,6,527.4400
forward,1,82,4,7,610.4400
forward,1,83,2,5,433.2600
forward,1,83,3,6,516.0900
forward,1,83,4,7,599.2600
forward,1,84,2,5,434.2700
forward,1,84,3,6,517.1900
forward,1,84,4,7,600.4900
forward,1,85,2,5,433.8100
forward,1,85,3,6,526.4000
forward,1,85,4,7,609.3400
forward,1,86,2,5,434.6700
forward,1,86,3,6,527.3200
forward,1,86,4,7,610.3000
forward,1,87,2,5,434.3000
forward,1,87,3,6,517.2900
forward,1,87,4,7,600.2800
forward,1,88,2,5,434.3700
forward,1,88,3,6,526.9500
forward,1,88,4,7,609.8700
forward,1,89,2,5,434.1000
forward,1,89,3,6,517.0800
forward,1,89,4,7,600.4200
forward,1,90,2,5,434.3000
forward,1,90,3,6,517.4700
forward,1,90,4,7,609.9500
forward,1,91,2,5,434.3600
forward,1,91,3,6,517.0700
forward,1,91,4,7,610.1300
forward,1,92,2,5,433.7300
forward,1,92,3,6,516.6400
forward,1,92,4,7,599.8800
forward,1,93,2,5,423.5200
forward,1,93,3,6,516.0800
forward,1,93,4,7,598.9900
forward,1,94,2,5,433.7100
forward,1,94,3,6,516.4600
forward,1,94,4,7,599.1000
forward,1,95,2,5,434.7100
forward,1,95,3,6,518.0400
forward,1,95,4,7,610.6600
forward,1,96,2,5,434.1300
forward,1,96,3,6,526.7600
forward,1,96,4,7,609.9800
forward,1,97,2,5,434.3700
forward,1,97,3,6,517.2000
forward,1,97,4,7,600.0800
forward,1,98,2,5,435.0300
forward,1,98,3,6,518.1000
forward,1,98,4,7,610.8400
forward,1,99,2,5,425.0900
forward,1,99,3,6,518.1600
forward,1,99,4,7,601.1700
