condition,policy,priority,seed,trial,target_width_ms,target_isi_ms,host_width_ms,host_onset_s
idle,SCHED_OTHER,0,20260808,0,34.9819,20.5536,35.0008,0.000000
idle,SCHED_OTHER,0,20260808,1,23.2772,45.2719,23.2988,0.056129
idle,SCHED_OTHER,0,20260808,2,27.5821,51.7066,27.6011,0.125573
idle,SCHED_OTHER,0,20260808,3,11.6943,82.5011,11.7178,0.205300
idle,SCHED_OTHER,0,20260808,4,29.2257,70.1140,29.2462,0.300188
idle,SCHED_OTHER,0,20260808,5,42.5299,64.8661,42.5378,0.399591
idle,SCHED_OTHER,0,20260808,6,9.7759,82.7076,9.7783,0.507272
idle,SCHED_OTHER,0,20260808,7,10.4781,63.1352,10.4805,0.600219
idle,SCHED_OTHER,0,20260808,8,33.2159,58.0359,33.2232,0.673843
idle,SCHED_OTHER,0,20260808,9,35.5087,45.7491,35.5332,0.765196
idle,SCHED_OTHER,0,20260808,10,15.0744,43.2716,15.0802,0.846859
idle,SCHED_OTHER,0,20260808,11,30.2606,29.5481,30.2719,0.905216
idle,SCHED_OTHER,0,20260808,12,27.2150,96.9840,27.2343,0.965622
idle,SCHED_OTHER,0,20260808,13,42.0627,60.0178,42.0710,1.089999
idle,SCHED_OTHER,0,20260808,14,8.4178,84.6276,8.4229,1.192201
idle,SCHED_OTHER,0,20260808,15,24.1067,48.7629,24.1244,1.285820
idle,SCHED_OTHER,0,20260808,16,17.5246,86.2734,17.5432,1.359073
idle,SCHED_OTHER,0,20260808,17,34.3142,89.5319,34.3176,1.462894
idle,SCHED_OTHER,0,20260808,18,9.2299,70.3932,9.2323,1.587416
idle,SCHED_OTHER,0,20260808,19,47.3320,21.0246,47.3400,1.667814
idle,SCHED_OTHER,0,20260808,20,31.1825,85.8547,31.2036,1.736281
idle,SCHED_OTHER,0,20260808,21,19.3550,60.3115,19.3741,1.853678
idle,SCHED_OTHER,0,20260808,22,45.5396,35.2497,45.5599,1.934203
idle,SCHED_OTHER,0,20260808,23,43.8904,32.5434,43.8988,2.015021
idle,SCHED_OTHER,0,20260808,24,41.5475,36.5232,41.5696,2.092040
idle,SCHED_OTHER,0,20260808,25,22.1903,70.8238,22.2041,2.170741
idle,SCHED_OTHER,0,20260808,26,44.7056,26.4092,44.7264,2.264097
idle,SCHED_OTHER,0,20260808,27,7.7383,17.5868,7.7408,2.335943
idle,SCHED_OTHER,0,20260808,28,38.0242,53.3963,38.0286,2.361804
