condition,policy,priority,seed,trial,target_width_ms,target_isi_ms,host_width_ms,host_onset_s
load,SCHED_OTHER,0,20260808,0,34.9819,20.5536,35.7897,0.000001
load,SCHED_OTHER,0,20260808,1,23.2772,45.2719,25.8318,0.056966
load,SCHED_OTHER,0,20260808,2,27.5821,51.7066,29.7085,0.128078
load,SCHED_OTHER,0,20260808,3,11.6943,82.5011,11.7144,0.209958
load,SCHED_OTHER,0,20260808,4,29.2257,70.1140,29.3029,0.304959
load,SCHED_OTHER,0,20260808,5,42.5299,64.8661,45.3995,0.404449
load,SCHED_OTHER,0,20260808,6,9.7759,82.7076,10.7657,0.515033
load,SCHED_OTHER,0,20260808,7,10.4781,63.1352,11.7686,0.609031
load,SCHED_OTHER,0,20260808,8,33.2159,58.0359,33.2295,0.683986
load,SCHED_OTHER,0,20260808,9,35.5087,45.7491,36.3964,0.775387
load,SCHED_OTHER,0,20260808,10,15.0744,43.2716,17.8716,0.857937
load,SCHED_OTHER,0,20260808,11,30.2606,29.5481,30.2843,0.919090
load,SCHED_OTHER,0,20260808,12,27.2150,96.9840,27.2805,0.979518
load,SCHED_OTHER,0,20260808,13,42.0627,60.0178,42.0806,1.104020
load,SCHED_OTHER,0,20260808,14,8.4178,84.6276,10.5068,1.206286
load,SCHED_OTHER,0,20260808,15,24.1067,48.7629,24.1194,1.301993
load,SCHED_OTHER,0,20260808,16,17.5246,86.2734,17.8514,1.374929
load,SCHED_OTHER,0,20260808,17,34.3142,89.5319,34.3245,1.479065
load,SCHED_OTHER,0,20260808,18,9.2299,70.3932,10.1896,1.603605
load,SCHED_OTHER,0,20260808,19,47.3320,21.0246,47.3413,1.684973
load,SCHED_OTHER,0,20260808,20,31.1825,85.8547,31.2061,1.753482
load,SCHED_OTHER,0,20260808,21,19.3550,60.3115,21.9574,1.870871
load,SCHED_OTHER,0,20260808,22,45.5396,35.2497,46.8069,1.953999
load,SCHED_OTHER,0,20260808,23,43.8904,32.5434,46.7361,2.036066
load,SCHED_OTHER,0,20260808,24,41.5475,36.5232,41.5648,2.115955
load,SCHED_OTHER,0,20260808,25,22.1903,70.8238,22.1969,2.194670
load,SCHED_OTHER,0,20260808,26,44.7056,26.4092,47.7275,2.288051
load,SCHED_OTHER,0,20260808,27,7.7383,17.5868,7.7605,2.362929
load,SCHED_OTHER,0,20260808,28,38.0242,53.3963,38.0332,2.388283
load,SCHED_OTHER,0,20260808,29,46.4686,51.0521,46.4958,2.480485
load,SCHED_OTHER,0,20260808,30,26.5362,90.4321,26.5616,2.578125
load,SCHED_OTHER,0,20260808,31,34.8164,24.2930,36.9111,2.695895
load,SCHED_OTHER,0,20260808,32,12.0426,61.9057,12.0553,2.757951
load,SCHED_OTHER,0,20260808,33,9.3035,97.4578,9.9161,2.831929
load,SCHED_OTHER,0,20260808,34,6.9435,59.8795,7.7323,2.940062
load,SCHED_OTHER,0,20260808,35,14.7314,87.5066,14.8240,3.007977
load,SCHED_OTHER,0,20260808,36,38.1609,53.3207,39.4907,3.111016
load,SCHED_OTHER,0,20260808,37,38.1065,76.1430,38.1354,3.204691
load,SCHED_OTHER,0,20260808,38,17.4900,87.8954,17.5124,3.319087
load,SCHED_OTHER,0,20260808,39,33.1996,95.8992,33.2097,3.424795
load,SCHED_OTHER,0,20260808,40,44.7675,93.2246,45.5869,3.554225
load,SCHED_OTHER,0,20260808,41,5.2958,79.3991,5.7317,3.693048
load,SCHED_OTHER,0,20260808,42,43.8063,13.7706,43.8350,3.778981
load,SCHED_OTHER,0,20260808,43,35.0996,53.5627,35.1074,3.836962
load,SCHED_OTHER,0,20260808,44,32.1633,13.1813,34.5604,3.926231
load,SCHED_OTHER,0,20260808,45,31.1884,95.3478,33.7883,3.973991
load,SCHED_OTHER,0,20260808,46,12.3109,54.5062,12.7723,4.104021
load,SCHED_OTHER,0,20260808,47,17.6106,25.0947,17.8317,4.171975
load,SCHED_OTHER,0,20260808,48,24.9888,65.7636,25.0134,4.214979
load,SCHED_OTHER,0,20260808,49,37.7227,77.4376,39.6930,4.306185
load,SCHED_OTHER,0,20260808,50,30.9898,29.2402,32.7267,4.424072
load,SCHED_OTHER,0,20260808,51,18.2227,70.4272,18.2463,4.486049
load,SCHED_OTHER,0,20260808,52,5.9663,62.6587,6.3209,4.575475
load,SCHED_OTHER,0,20260808,53,16.8375,26.1941,16.8422,4.644970
load,SCHED_OTHER,0,20260808,54,36.2685,58.2785,37.7877,4.688015
load,SCHED_OTHER,0,20260808,55,39.4895,70.2914,39.5125,4.784100
load,SCHED_OTHER,0,20260808,56,42.2807,70.2831,42.3081,4.893929
load,SCHED_OTHER,0,20260808,57,11.6637,44.6593,11.6687,5.006532
load,SCHED_OTHER,0,20260808,58,41.0970,82.7619,43.4694,5.063357
load,SCHED_OTHER,0,20260808,59,28.5414,48.8209,28.7559,5.190039
load,SCHED_OTHER,0,20260808,60,28.6993,59.4984,28.7082,5.267973
load,SCHED_OTHER,0,20260808,61,14.8805,50.7027,14.9050,5.356861
load,SCHED_OTHER,0,20260808,62,18.6354,63.1505,18.6480,5.422955
load,SCHED_OTHER,0,20260808,63,8.6108,90.7218,8.6145,5.504801
load,SCHED_OTHER,0,20260808,64,20.3663,77.9548,22.8730,5.604962
load,SCHED_OTHER,0,20260808,65,41.6893,56.1087,41.7005,5.706016
load,SCHED_OTHER,0,20260808,66,27.0262,87.2783,28.9396,5.803857
load,SCHED_OTHER,0,20260808,67,24.5534,81.9405,24.5773,5.920084
load,SCHED_OTHER,0,20260808,68,28.5485,95.8118,29.8236,6.026865
load,SCHED_OTHER,0,20260808,69,28.9136,17.1675,30.9197,6.152881
load,SCHED_OTHER,0,20260808,70,18.2922,59.5885,18.8046,6.200980
load,SCHED_OTHER,0,20260808,71,28.0983,83.9174,29.4983,6.279949
load,SCHED_OTHER,0,20260808,72,40.3108,72.6424,40.3312,6.393650
load,SCHED_OTHER,0,20260808,73,20.7599,40.9846,21.6327,6.507192
load,SCHED_OTHER,0,20260808,74,22.0312,65.7494,22.0534,6.569970
load,SCHED_OTHER,0,20260808,75,47.9015,23.4882,47.9185,6.658195
load,SCHED_OTHER,0,20260808,76,34.7463,71.2197,34.7705,6.729908
load,SCHED_OTHER,0,20260808,77,17.3642,27.7696,19.8694,6.835908
load,SCHED_OTHER,0,20260808,78,31.4820,97.3023,31.5062,6.883924
load,SCHED_OTHER,0,20260808,79,26.9781,88.8287,29.0890,7.012741
load,SCHED_OTHER,0,20260808,80,31.2134,69.8056,32.7321,7.131055
load,SCHED_OTHER,0,20260808,81,39.0071,79.1670,39.0332,7.233980
load,SCHED_OTHER,0,20260808,82,18.6734,64.9768,20.0384,7.352207
load,SCHED_OTHER,0,20260808,83,14.3325,31.1287,14.3456,7.437418
load,SCHED_OTHER,0,20260808,84,17.1471,34.1504,17.1539,7.485918
load,SCHED_OTHER,0,20260808,85,24.9913,40.8408,24.9992,7.537227
load,SCHED_OTHER,0,20260808,86,24.3493,23.6970,24.3782,7.603365
load,SCHED_OTHER,0,20260808,87,27.5070,55.4006,28.9559,7.651840
load,SCHED_OTHER,0,20260808,88,46.2917,92.9098,47.8462,7.736942
load,SCHED_OTHER,0,20260808,89,20.1499,30.9098,20.1555,7.877992
load,SCHED_OTHER,0,20260808,90,42.4137,79.9814,42.4529,7.929299
load,SCHED_OTHER,0,20260808,91,34.0063,58.8520,34.0178,8.051950
load,SCHED_OTHER,0,20260808,92,36.1894,69.1756,37.6569,8.145143
load,SCHED_OTHER,0,20260808,93,39.0799,56.3900,39.1071,8.251987
load,SCHED_OTHER,0,20260808,94,44.5899,42.1341,46.5251,8.348258
load,SCHED_OTHER,0,20260808,95,6.9783,38.1545,6.9986,8.436948
load,SCHED_OTHER,0,20260808,96,11.9671,93.0038,13.6970,8.482110
load,SCHED_OTHER,0,20260808,97,21.5287,32.9506,21.5365,8.589008
load,SCHED_OTHER,0,20260808,98,40.4189,34.2474,43.1379,8.643690
load,SCHED_OTHER,0,20260808,99,8.5092,19.0412,10.7054,8.721086
load,SCHED_OTHER,0,20260808,100,37.2674,67.4063,37.8476,8.750943
load,SCHED_OTHER,0,20260808,101,35.6317,92.0374,35.6564,8.856961
load,SCHED_OTHER,0,20260808,102,26.6368,66.8425,26.6644,8.984806
load,SCHED_OTHER,0,20260808,103,13.3308,50.5707,13.3536,9.078653
load,SCHED_OTHER,0,20260808,104,13.0788,84.5972,13.1004,9.143192
load,SCHED_OTHER,0,20260808,105,49.1020,37.9989,49.2909,9.241499
load,SCHED_OTHER,0,20260808,106,5.7318,93.9466,5.7363,9.328947
load,SCHED_OTHER,0,20260808,107,20.3284,99.6166,22.8666,9.428960
load,SCHED_OTHER,0,20260808,108,20.6942,34.3926,20.7163,9.552040
load,SCHED_OTHER,0,20260808,109,36.9428,68.3789,38.8941,9.607905
load,SCHED_OTHER,0,20260808,110,41.6102,36.0281,42.8494,9.715970
load,SCHED_OTHER,0,20260808,111,40.2388,21.1542,42.8522,9.794963
load,SCHED_OTHER,0,20260808,112,20.9680,13.9736,21.8265,9.858977
load,SCHED_OTHER,0,20260808,113,34.5855,33.0234,34.8703,9.894928
load,SCHED_OTHER,0,20260808,114,33.6797,36.7274,35.8452,9.962953
load,SCHED_OTHER,0,20260808,115,5.7779,69.6345,5.7815,10.035968
load,SCHED_OTHER,0,20260808,116,31.2096,10.7187,33.9329,10.111860
load,SCHED_OTHER,0,20260808,117,43.1157,98.2810,43.1251,10.156940
load,SCHED_OTHER,0,20260808,118,15.2622,54.1087,17.4440,10.298355
load,SCHED_OTHER,0,20260808,119,34.3469,81.8040,35.8134,10.369975
load,SCHED_OTHER,0,20260808,120,20.6264,72.0686,20.6327,10.487974
load,SCHED_OTHER,0,20260808,121,37.2971,50.4758,38.0023,10.580795
load,SCHED_OTHER,0,20260808,122,29.4873,40.8005,29.5031,10.669959
load,SCHED_OTHER,0,20260808,123,15.4408,13.2103,15.4612,10.740609
