condition,policy,priority,seed,trial,target_width_ms,host_width_ms,measured_width_ms,residual_ms,rise_s,fall_s
idle,SCHED_OTHER,0,20260808,0,34.9819,35.0008,34.9780,-0.0001,4.579132,4.614110
idle,SCHED_OTHER,0,20260808,1,23.2772,23.2988,23.3312,0.0562,4.635247,4.658579
idle,SCHED_OTHER,0,20260808,2,27.5821,27.6011,27.5801,0.0008,4.704695,4.732275
idle,SCHED_OTHER,0,20260808,3,11.6943,11.7178,11.7203,0.0265,4.784406,4.796126
idle,SCHED_OTHER,0,20260808,4,29.2257,29.2462,29.2744,0.0518,4.879292,4.908566
idle,SCHED_OTHER,0,20260808,5,42.5299,42.5378,42.5126,-0.0123,4.978719,5.021232
idle,SCHED_OTHER,0,20260808,6,9.7759,9.7783,9.7622,-0.0135,5.086391,5.096153
idle,SCHED_OTHER,0,20260808,7,10.4781,10.4805,10.4776,-0.0002,5.179325,5.189802
idle,SCHED_OTHER,0,20260808,8,33.2159,33.2232,33.2082,-0.0041,5.252946,5.286154
idle,SCHED_OTHER,0,20260808,9,35.5087,35.5332,35.5138,0.0091,5.344309,5.379823
idle,SCHED_OTHER,0,20260808,10,15.0744,15.0802,15.0728,-0.0006,5.425965,5.441038
idle,SCHED_OTHER,0,20260808,11,30.2606,30.2719,30.2571,-0.0003,5.484322,5.514579
idle,SCHED_OTHER,0,20260808,12,27.2150,27.2343,27.2167,0.0045,5.544738,5.571955
idle,SCHED_OTHER,0,20260808,13,42.0627,42.0710,42.0532,-0.0046,5.669110,5.711163
idle,SCHED_OTHER,0,20260808,14,8.4178,8.4229,8.4073,-0.0105,5.771298,5.779705
idle,SCHED_OTHER,0,20260808,15,24.1067,24.1244,24.1020,-0.0023,5.864928,5.889030
idle,SCHED_OTHER,0,20260808,16,17.5246,17.5432,17.5327,0.0094,5.938167,5.955700
idle,SCHED_OTHER,0,20260808,17,34.3142,34.3176,34.2982,-0.0122,6.041998,6.076297
idle,SCHED_OTHER,0,20260808,18,9.2299,9.2323,9.1971,-0.0326,6.166532,6.175729
idle,SCHED_OTHER,0,20260808,19,47.3320,47.3400,47.3061,-0.0202,6.246919,6.294225
idle,SCHED_OTHER,0,20260808,20,31.1825,31.2036,31.1974,0.0182,6.315361,6.346558
idle,SCHED_OTHER,0,20260808,21,19.3550,19.3741,19.3674,0.0140,6.432763,6.452131
idle,SCHED_OTHER,0,20260808,22,45.5396,45.5599,45.5477,0.0135,6.513286,6.558834
idle,SCHED_OTHER,0,20260808,23,43.8904,43.8988,43.8756,-0.0096,6.594118,6.637994
idle,SCHED_OTHER,0,20260808,24,41.5475,41.5696,41.5561,0.0134,6.671123,6.712679
idle,SCHED_OTHER,0,20260808,25,22.1903,22.2041,22.1809,-0.0073,6.749831,6.772012
idle,SCHED_OTHER,0,20260808,26,44.7056,44.7264,44.6931,-0.0072,6.843197,6.887890
idle,SCHED_OTHER,0,20260808,27,7.7383,7.7408,7.7220,-0.0164,6.915032,6.922754
idle,SCHED_OTHER,0,20260808,28,38.0242,38.0286,37.9999,-0.0200,6.940891,6.978891
idle,SCHED_OTHER,0,20260808,29,46.4686,46.4896,46.4636,0.0006,7.033078,7.079542
idle,SCHED_OTHER,0,20260808,30,26.5362,26.5408,26.5227,-0.0109,7.130698,7.157220
idle,SCHED_OTHER,0,20260808,31,34.8164,34.8403,34.8294,0.0168,7.248400,7.283229
idle,SCHED_OTHER,0,20260808,32,12.0426,12.0620,12.0461,0.0040,7.308368,7.320414
idle,SCHED_OTHER,0,20260808,33,9.3035,9.3062,9.2980,-0.0054,7.382556,7.391854
idle,SCHED_OTHER,0,20260808,34,6.9435,6.9456,6.9247,-0.0190,7.490006,7.496931
idle,SCHED_OTHER,0,20260808,35,14.7314,14.7499,14.7248,-0.0056,7.557061,7.571786
idle,SCHED_OTHER,0,20260808,36,38.1609,38.1821,38.1722,0.0157,7.659942,7.698114
idle,SCHED_OTHER,0,20260808,37,38.1065,38.1114,38.1031,0.0009,7.752233,7.790336
idle,SCHED_OTHER,0,20260808,38,17.4900,17.4938,17.4836,-0.0050,7.866499,7.883982
idle,SCHED_OTHER,0,20260808,39,33.1996,33.2187,33.2208,0.0248,7.972150,8.005371
idle,SCHED_OTHER,0,20260808,40,44.7675,44.7870,44.7707,0.0085,8.101549,8.146320
idle,SCHED_OTHER,0,20260808,41,5.2958,5.2984,5.2921,-0.0041,8.239568,8.244860
idle,SCHED_OTHER,0,20260808,42,43.8063,43.8264,43.8201,0.0189,8.324782,8.368603
idle,SCHED_OTHER,0,20260808,43,35.0996,35.1029,35.0767,-0.0190,8.382750,8.417827
idle,SCHED_OTHER,0,20260808,44,32.1633,32.1712,32.1639,0.0041,8.471954,8.504118
idle,SCHED_OTHER,0,20260808,45,31.1884,31.1922,31.1902,0.0052,8.517313,8.548503
idle,SCHED_OTHER,0,20260808,46,12.3109,12.3137,12.3060,-0.0043,8.644685,8.656991
idle,SCHED_OTHER,0,20260808,47,17.6106,17.6132,17.6076,-0.0016,8.712134,8.729742
idle,SCHED_OTHER,0,20260808,48,24.9888,24.9916,24.9737,-0.0126,8.754874,8.779847
idle,SCHED_OTHER,0,20260808,49,37.7227,37.7255,37.7162,-0.0023,8.845962,8.883678
idle,SCHED_OTHER,0,20260808,50,30.9898,30.9942,30.9732,-0.0133,8.961867,8.992841
