condition,policy,priority,seed,trial,target_width_ms,host_width_ms,measured_width_ms,residual_ms,rise_s,fall_s
load,SCHED_OTHER,0,20260808,0,34.9819,35.7897,35.7643,0.0165,4.428237,4.464002
load,SCHED_OTHER,0,20260808,1,23.2772,25.8318,25.7993,1.7691,4.485223,4.511022
load,SCHED_OTHER,0,20260808,2,27.5821,29.7085,29.6939,1.3541,4.556305,4.585999
load,SCHED_OTHER,0,20260808,3,11.6943,11.7144,11.6608,-0.7739,4.638229,4.649890
load,SCHED_OTHER,0,20260808,4,29.2257,29.3029,29.2501,-0.7352,4.733219,4.762469
load,SCHED_OTHER,0,20260808,5,42.5299,45.3995,45.3746,2.0705,4.832692,4.878066
load,SCHED_OTHER,0,20260808,6,9.7759,10.7657,10.7278,0.2137,4.943277,4.954004
load,SCHED_OTHER,0,20260808,7,10.4781,11.7686,11.7334,0.5164,5.037273,5.049006
load,SCHED_OTHER,0,20260808,8,33.2159,33.2295,33.1959,-0.7839,5.112225,5.145421
load,SCHED_OTHER,0,20260808,9,35.5087,36.3964,36.3675,0.0923,5.203615,5.239982
load,SCHED_OTHER,0,20260808,10,15.0744,17.8716,17.8052,1.9868,5.286200,5.304006
load,SCHED_OTHER,0,20260808,11,30.2606,30.2843,30.2640,-0.7573,5.347322,5.377586
load,SCHED_OTHER,0,20260808,12,27.2150,27.2805,27.2474,-0.7250,5.407747,5.434994
load,SCHED_OTHER,0,20260808,13,42.0627,42.0806,42.0465,-0.7898,5.532249,5.574295
load,SCHED_OTHER,0,20260808,14,8.4178,10.5068,10.4627,1.3082,5.634522,5.644984
load,SCHED_OTHER,0,20260808,15,24.1067,24.1194,24.0793,-0.7813,5.730226,5.754306
load,SCHED_OTHER,0,20260808,16,17.5246,17.8514,17.7713,-0.5000,5.803199,5.820970
load,SCHED_OTHER,0,20260808,17,34.3142,34.3245,34.2893,-0.7900,5.907285,5.941575
load,SCHED_OTHER,0,20260808,18,9.2299,10.1896,10.1630,0.1955,6.031822,6.041985
load,SCHED_OTHER,0,20260808,19,47.3320,47.3413,47.3226,-0.7889,6.113185,6.160508
load,SCHED_OTHER,0,20260808,20,31.1825,31.2061,31.1930,-0.7512,6.181685,6.212878
load,SCHED_OTHER,0,20260808,21,19.3550,21.9574,21.9290,1.8252,6.299089,6.321018
