condition,policy,priority,seed,trial,target_width_ms,host_width_ms,measured_width_ms,residual_ms,rise_s,fall_s
rt,SCHED_FIFO,50,20260808,0,34.9819,35.0071,34.9568,-0.0229,4.370290,4.405247
rt,SCHED_FIFO,50,20260808,1,23.2772,23.3001,23.3486,0.0741,4.426357,4.449706
rt,SCHED_FIFO,50,20260808,2,27.5821,27.6036,27.5936,0.0140,4.495728,4.523321
rt,SCHED_FIFO,50,20260808,3,11.6943,11.6987,11.6880,-0.0032,4.575412,4.587100
rt,SCHED_FIFO,50,20260808,4,29.2257,29.2330,29.1903,-0.0329,4.670211,4.699401
rt,SCHED_FIFO,50,20260808,5,42.5299,42.5501,42.5288,0.0008,4.769562,4.812091
rt,SCHED_FIFO,50,20260808,6,9.7759,9.7812,9.7483,-0.0244,4.877226,4.886974
rt,SCHED_FIFO,50,20260808,7,10.4781,10.4905,10.4584,-0.0165,4.970097,4.980555
rt,SCHED_FIFO,50,20260808,8,33.2159,33.2234,33.1911,-0.0225,5.043748,5.076939
rt,SCHED_FIFO,50,20260808,9,35.5087,35.5165,35.4958,-0.0107,5.135050,5.170546
rt,SCHED_FIFO,50,20260808,10,15.0744,15.0863,15.0232,-0.0482,5.216695,5.231718
rt,SCHED_FIFO,50,20260808,11,30.2606,30.2833,30.2569,-0.0013,5.275837,5.306094
rt,SCHED_FIFO,50,20260808,12,27.2150,27.2379,27.2199,0.0075,5.336198,5.363418
rt,SCHED_FIFO,50,20260808,13,42.0627,42.0941,42.0712,0.0104,5.460534,5.502605
rt,SCHED_FIFO,50,20260808,14,8.4178,8.4379,8.4144,-0.0001,5.562737,5.571151
rt,SCHED_FIFO,50,20260808,15,24.1067,24.1302,24.1169,0.0129,5.656230,5.680347
rt,SCHED_FIFO,50,20260808,16,17.5246,17.5527,17.5322,0.0105,5.729452,5.746984
rt,SCHED_FIFO,50,20260808,17,34.3142,34.3485,34.3065,-0.0054,5.834143,5.868449
rt,SCHED_FIFO,50,20260808,18,9.2299,9.2351,9.2083,-0.0183,5.958594,5.967802
rt,SCHED_FIFO,50,20260808,19,47.3320,47.3624,47.3321,0.0018,6.038913,6.086245
rt,SCHED_FIFO,50,20260808,20,31.1825,31.2049,31.1772,-0.0029,6.107353,6.138530
rt,SCHED_FIFO,50,20260808,21,19.3550,19.3618,19.3065,-0.0456,6.224675,6.243982
rt,SCHED_FIFO,50,20260808,22,45.5396,45.5673,45.6047,0.0669,6.305073,6.350678
rt,SCHED_FIFO,50,20260808,23,43.8904,43.9142,43.9423,0.0537,6.386733,6.430675
rt,SCHED_FIFO,50,20260808,24,41.5475,41.5729,41.5542,0.0087,6.463705,6.505259
rt,SCHED_FIFO,50,20260808,25,22.1903,22.2135,22.1896,0.0020,6.542352,6.564542
rt,SCHED_FIFO,50,20260808,26,44.7056,44.7304,44.6889,-0.0149,6.635662,6.680351
rt,SCHED_FIFO,50,20260808,27,7.7383,7.7429,7.7396,0.0046,6.707433,6.715172
rt,SCHED_FIFO,50,20260808,28,38.0242,38.0323,38.0215,-0.0006,6.733223,6.771244
rt,SCHED_FIFO,50,20260808,29,46.4686,46.4939,46.4599,-0.0070,6.825379,6.871839
rt,SCHED_FIFO,50,20260808,30,26.5362,26.5513,26.5188,-0.0149,6.922949,6.949468
rt,SCHED_FIFO,50,20260808,31,34.8164,34.8403,34.7523,-0.0619,7.040665,7.075418
rt,SCHED_FIFO,50,20260808,32,12.0426,12.0668,12.0432,0.0038,7.100506,7.112549
rt,SCHED_FIFO,50,20260808,33,9.3035,9.3088,9.2501,-0.0502,7.174667,7.183917
rt,SCHED_FIFO,50,20260808,34,6.9435,6.9638,6.9351,-0.0051,7.282033,7.288969
rt,SCHED_FIFO,50,20260808,35,14.7314,14.7553,14.7140,-0.0144,7.349064,7.363778
rt,SCHED_FIFO,50,20260808,36,38.1609,38.1695,38.1365,-0.0223,7.451903,7.490039
rt,SCHED_FIFO,50,20260808,37,38.1065,38.1197,38.0877,-0.0167,7.544162,7.582249
rt,SCHED_FIFO,50,20260808,38,17.4900,17.5113,17.4760,-0.0111,7.658438,7.675914
rt,SCHED_FIFO,50,20260808,39,33.1996,33.2252,33.1929,-0.0044,7.764067,7.797260
rt,SCHED_FIFO,50,20260808,40,44.7675,44.7938,44.7605,-0.0052,7.893398,7.938158
rt,SCHED_FIFO,50,20260808,41,5.2958,5.3263,5.3022,0.0098,8.031407,8.036709
rt,SCHED_FIFO,50,20260808,42,43.8063,43.8323,43.8175,0.0131,8.116824,8.160642
rt,SCHED_FIFO,50,20260808,43,35.0996,35.1233,35.1162,0.0188,8.174696,8.209812
rt,SCHED_FIFO,50,20260808,44,32.1633,32.1872,32.1716,0.0106,8.263917,8.296089
rt,SCHED_FIFO,50,20260808,45,31.1884,31.1947,31.1718,-0.0142,8.309302,8.340474
rt,SCHED_FIFO,50,20260808,46,12.3109,12.3326,12.2723,-0.0355,8.436634,8.448906
rt,SCHED_FIFO,50,20260808,47,17.6106,17.6191,17.6197,0.0120,8.504014,8.521634
rt,SCHED_FIFO,50,20260808,48,24.9888,25.0114,24.9711,-0.0150,8.546781,8.571752
rt,SCHED_FIFO,50,20260808,49,37.7227,37.7466,37.7770,0.0564,8.637857,8.675634
rt,SCHED_FIFO,50,20260808,50,30.9898,31.0166,30.9869,-0.0005,8.753699,8.784686
rt,SCHED_FIFO,50,20260808,51,18.2227,18.2445,18.2094,-0.0104,8.813969,8.832179
rt,SCHED_FIFO,50,20260808,52,5.9663,5.9880,5.9556,-0.0073,8.903304,8.909259
rt,SCHED_FIFO,50,20260808,53,16.8375,16.8594,16.8159,-0.0186,8.972373,8.989189
rt,SCHED_FIFO,50,20260808,54,36.2685,36.2941,36.2573,-0.0090,9.015430,9.051687
rt,SCHED_FIFO,50,20260808,55,39.4895,39.5142,39.4961,0.0087,9.110798,9.150294
rt,SCHED_FIFO,50,20260808,56,42.2807,42.2933,42.2707,-0.0081,9.221408,9.263678
rt,SCHED_FIFO,50,20260808,57,11.6637,11.6862,11.6506,-0.0099,9.334812,9.346463
rt,SCHED_FIFO,50,20260808,58,41.0970,41.1129,41.0390,-0.0560,9.391614,9.432653
rt,SCHED_FIFO,50,20260808,59,28.5414,28.5486,28.5164,-0.0226,9.515795,9.544311
rt,SCHED_FIFO,50,20260808,60,28.6993,28.7147,28.6991,0.0022,9.593421,9.622120
rt,SCHED_FIFO,50,20260808,61,14.8805,14.8855,14.8617,-0.0158,9.682238,9.697100
rt,SCHED_FIFO,50,20260808,62,18.6354,18.6571,18.6404,0.0079,9.748194,9.766834
rt,SCHED_FIFO,50,20260808,63,8.6108,8.6328,8.6026,-0.0050,9.830021,9.838623
rt,SCHED_FIFO,50,20260808,64,20.3663,20.3904,20.3550,-0.0085,9.929758,9.950113
rt,SCHED_FIFO,50,20260808,65,41.6893,41.7149,41.6884,0.0010,10.028239,10.069927
rt,SCHED_FIFO,50,20260808,66,27.0262,27.0494,27.0193,-0.0043,10.126118,10.153138
rt,SCHED_FIFO,50,20260808,67,24.5534,24.5745,24.5347,-0.0161,10.241255,10.265790
rt,SCHED_FIFO,50,20260808,68,28.5485,28.5773,28.5428,-0.0033,10.347933,10.376476
rt,SCHED_FIFO,50,20260808,69,28.9136,28.9291,28.9004,-0.0107,10.472598,10.501498
rt,SCHED_FIFO,50,20260808,70,18.2922,18.3028,18.2830,-0.0064,10.518706,10.536989
rt,SCHED_FIFO,50,20260808,71,28.0983,28.1243,28.1122,0.0164,10.597070,10.625182
rt,SCHED_FIFO,50,20260808,72,40.3108,40.3241,40.2972,-0.0115,10.709301,10.749598
rt,SCHED_FIFO,50,20260808,73,20.7599,20.7827,20.7480,-0.0092,10.822746,10.843494
rt,SCHED_FIFO,50,20260808,74,22.0312,22.0388,22.0098,-0.0187,10.884600,10.906610
rt,SCHED_FIFO,50,20260808,75,47.9015,47.9297,47.8942,-0.0056,10.972736,11.020630
rt,SCHED_FIFO,50,20260808,76,34.7463,34.7718,34.7390,-0.0051,11.044746,11.079485
rt,SCHED_FIFO,50,20260808,77,17.3642,17.3844,17.3653,0.0041,11.150734,11.168100
rt,SCHED_FIFO,50,20260808,78,31.4820,31.4887,31.4837,0.0041,11.196159,11.227642
rt,SCHED_FIFO,50,20260808,79,26.9781,26.9859,26.9448,-0.0307,11.325761,11.352706
rt,SCHED_FIFO,50,20260808,80,31.2134,31.2357,31.1951,-0.0160,11.441839,11.473034
rt,SCHED_FIFO,50,20260808,81,39.0071,39.0324,39.0051,0.0001,11.543156,11.582161
rt,SCHED_FIFO,50,20260808,82,18.6734,18.6988,18.6645,-0.0060,11.661367,11.680031
rt,SCHED_FIFO,50,20260808,83,14.3325,14.3396,14.3165,-0.0130,11.745145,11.759462
rt,SCHED_FIFO,50,20260808,84,17.1471,17.1725,17.1521,0.0080,11.790607,11.807759
rt,SCHED_FIFO,50,20260808,85,24.9913,25.0105,24.9881,-0.0006,11.841942,11.866930
rt,SCHED_FIFO,50,20260808,86,24.3493,24.3602,24.3453,-0.0013,11.907998,11.932344
