condition,policy,priority,seed,trial,target_width_ms,target_isi_ms,host_width_ms,host_onset_s
rt,SCHED_FIFO,50,20260808,0,34.9819,20.5536,34.9891,0.000000
rt,SCHED_FIFO,50,20260808,1,23.2772,45.2719,23.2944,0.055551
rt,SCHED_FIFO,50,20260808,2,27.5821,51.7066,27.6143,0.124124
rt,SCHED_FIFO,50,20260808,3,11.6943,82.5011,11.7158,0.203451
rt,SCHED_FIFO,50,20260808,4,29.2257,70.1140,29.2547,0.297677
rt,SCHED_FIFO,50,20260808,5,42.5299,64.8661,42.5434,0.397055
rt,SCHED_FIFO,50,20260808,6,9.7759,82.7076,9.7827,0.504475
rt,SCHED_FIFO,50,20260808,7,10.4781,63.1352,10.4852,0.596973
rt,SCHED_FIFO,50,20260808,8,33.2159,58.0359,33.2570,0.670599
rt,SCHED_FIFO,50,20260808,9,35.5087,45.7491,35.5238,0.761901
rt,SCHED_FIFO,50,20260808,10,15.0744,43.2716,15.0891,0.843182
rt,SCHED_FIFO,50,20260808,11,30.2606,29.5481,30.2872,0.901552
rt,SCHED_FIFO,50,20260808,12,27.2150,96.9840,27.2386,1.000547
rt,SCHED_FIFO,50,20260808,13,42.0627,60.0178,42.0783,1.124778
rt,SCHED_FIFO,50,20260808,14,8.4178,84.6276,8.4479,1.226880
rt,SCHED_FIFO,50,20260808,15,24.1067,48.7629,24.1335,1.319962
rt,SCHED_FIFO,50,20260808,16,17.5246,86.2734,17.5464,1.392867
rt,SCHED_FIFO,50,20260808,17,34.3142,89.5319,34.3259,1.496693
rt,SCHED_FIFO,50,20260808,18,9.2299,70.3932,9.2355,1.620567
rt,SCHED_FIFO,50,20260808,19,47.3320,21.0246,47.3616,1.700203
rt,SCHED_FIFO,50,20260808,20,31.1825,85.8547,31.1970,1.768600
rt,SCHED_FIFO,50,20260808,21,19.3550,60.3115,19.3780,1.885657
rt,SCHED_FIFO,50,20260808,22,45.5396,35.2497,45.5643,2.001553
rt,SCHED_FIFO,50,20260808,23,43.8904,32.5434,43.9020,2.082376
rt,SCHED_FIFO,50,20260808,24,41.5475,36.5232,41.5714,2.158829
rt,SCHED_FIFO,50,20260808,25,22.1903,70.8238,22.2143,2.236930
rt,SCHED_FIFO,50,20260808,26,44.7056,26.4092,44.7187,2.329977
rt,SCHED_FIFO,50,20260808,27,7.7383,17.5868,7.7588,2.401116
rt,SCHED_FIFO,50,20260808,28,38.0242,53.3963,38.0501,2.426465
rt,SCHED_FIFO,50,20260808,29,46.4686,51.0521,46.5063,2.517917
rt,SCHED_FIFO,50,20260808,30,26.5362,90.4321,26.5581,2.615483
rt,SCHED_FIFO,50,20260808,31,34.8164,24.2930,34.8220,2.732481
rt,SCHED_FIFO,50,20260808,32,12.0426,61.9057,12.0637,2.791610
rt,SCHED_FIFO,50,20260808,33,9.3035,97.4578,9.3090,2.865586
rt,SCHED_FIFO,50,20260808,34,6.9435,59.8795,6.9649,3.002541
rt,SCHED_FIFO,50,20260808,35,14.7314,87.5066,14.7388,3.069394
rt,SCHED_FIFO,50,20260808,36,38.1609,53.3207,38.1761,3.171656
rt,SCHED_FIFO,50,20260808,37,38.1065,76.1430,38.1179,3.263165
rt,SCHED_FIFO,50,20260808,38,17.4900,87.8954,17.4954,3.377436
rt,SCHED_FIFO,50,20260808,39,33.1996,95.8992,33.2240,3.482837
rt,SCHED_FIFO,50,20260808,40,44.7675,93.2246,44.7768,3.611972
rt,SCHED_FIFO,50,20260808,41,5.2958,79.3991,5.3163,3.749986
rt,SCHED_FIFO,50,20260808,42,43.8063,13.7706,43.8394,3.834712
rt,SCHED_FIFO,50,20260808,43,35.0996,53.5627,35.1236,3.892333
rt,SCHED_FIFO,50,20260808,44,32.1633,13.1813,32.1863,4.003583
rt,SCHED_FIFO,50,20260808,45,31.1884,95.3478,31.2046,4.048961
rt,SCHED_FIFO,50,20260808,46,12.3109,54.5062,12.3165,4.175519
rt,SCHED_FIFO,50,20260808,47,17.6106,25.0947,17.6316,4.242349
rt,SCHED_FIFO,50,20260808,48,24.9888,65.7636,25.0112,4.285081
rt,SCHED_FIFO,50,20260808,49,37.7227,77.4376,37.7467,4.375862
rt,SCHED_FIFO,50,20260808,50,30.9898,29.2402,31.0036,4.491058
rt,SCHED_FIFO,50,20260808,51,18.2227,70.4272,18.2450,4.551312
rt,SCHED_FIFO,50,20260808,52,5.9663,62.6587,5.9722,4.639994
rt,SCHED_FIFO,50,20260808,53,16.8375,26.1941,16.8589,4.708635
rt,SCHED_FIFO,50,20260808,54,36.2685,58.2785,36.2915,4.751695
rt,SCHED_FIFO,50,20260808,55,39.4895,70.2914,39.5144,4.846271
rt,SCHED_FIFO,50,20260808,56,42.2807,70.2831,42.2961,5.004540
rt,SCHED_FIFO,50,20260808,57,11.6637,44.6593,11.6836,5.117131
rt,SCHED_FIFO,50,20260808,58,41.0970,82.7619,41.1215,5.173479
rt,SCHED_FIFO,50,20260808,59,28.5414,48.8209,28.5509,5.297375
rt,SCHED_FIFO,50,20260808,60,28.6993,59.4984,28.7206,5.374757
rt,SCHED_FIFO,50,20260808,61,14.8805,50.7027,14.8854,5.462983
rt,SCHED_FIFO,50,20260808,62,18.6354,63.1505,18.6578,5.528577
rt,SCHED_FIFO,50,20260808,63,8.6108,90.7218,8.6323,5.610393
rt,SCHED_FIFO,50,20260808,64,20.3663,77.9548,20.3894,5.709756
rt,SCHED_FIFO,50,20260808,65,41.6893,56.1087,41.7146,5.808113
rt,SCHED_FIFO,50,20260808,66,27.0262,87.2783,27.0534,5.905979
rt,SCHED_FIFO,50,20260808,67,24.5534,81.9405,24.5626,6.020323
rt,SCHED_FIFO,50,20260808,68,28.5485,95.8118,28.5631,6.126842
rt,SCHED_FIFO,50,20260808,69,28.9136,17.1675,28.9357,6.251227
rt,SCHED_FIFO,50,20260808,70,18.2922,59.5885,18.3152,6.297340
rt,SCHED_FIFO,50,20260808,71,28.0983,83.9174,28.1216,6.375251
rt,SCHED_FIFO,50,20260808,72,40.3108,72.6424,40.3195,6.487299
rt,SCHED_FIFO,50,20260808,73,20.7599,40.9846,20.7817,6.600272
rt,SCHED_FIFO,50,20260808,74,22.0312,65.7494,22.0531,6.662045
rt,SCHED_FIFO,50,20260808,75,47.9015,23.4882,47.9122,6.749855
rt,SCHED_FIFO,50,20260808,76,34.7463,71.2197,34.7550,6.821274
rt,SCHED_FIFO,50,20260808,77,17.3642,27.7696,17.3765,6.927255
rt,SCHED_FIFO,50,20260808,78,31.4820,97.3023,31.4894,7.006544
rt,SCHED_FIFO,50,20260808,79,26.9781,88.8287,26.9918,7.135353
rt,SCHED_FIFO,50,20260808,80,31.2134,69.8056,31.2264,7.251185
rt,SCHED_FIFO,50,20260808,81,39.0071,79.1670,39.0203,7.352228
rt,SCHED_FIFO,50,20260808,82,18.6734,64.9768,18.6942,7.470423
rt,SCHED_FIFO,50,20260808,83,14.3325,31.1287,14.3372,7.554102
rt,SCHED_FIFO,50,20260808,84,17.1471,34.1504,17.1783,7.599584
rt,SCHED_FIFO,50,20260808,85,24.9913,40.8408,25.0144,7.650918
rt,SCHED_FIFO,50,20260808,86,24.3493,23.6970,24.3710,7.716781
rt,SCHED_FIFO,50,20260808,87,27.5070,55.4006,27.5129,7.764855
rt,SCHED_FIFO,50,20260808,88,46.2917,92.9098,46.3089,7.847775
rt,SCHED_FIFO,50,20260808,89,20.1499,30.9098,20.1633,8.007540
rt,SCHED_FIFO,50,20260808,90,42.4137,79.9814,42.4220,8.058623
rt,SCHED_FIFO,50,20260808,91,34.0063,58.8520,34.0284,8.181033
rt,SCHED_FIFO,50,20260808,92,36.1894,69.1756,36.2158,8.273921
rt,SCHED_FIFO,50,20260808,93,39.0799,56.3900,39.0945,8.379322
rt,SCHED_FIFO,50,20260808,94,44.5899,42.1341,44.6155,8.474816
rt,SCHED_FIFO,50,20260808,95,6.9783,38.1545,6.9978,8.561575
rt,SCHED_FIFO,50,20260808,96,11.9671,93.0038,11.9717,8.606733
rt,SCHED_FIFO,50,20260808,97,21.5287,32.9506,21.5493,8.711713
rt,SCHED_FIFO,50,20260808,98,40.4189,34.2474,40.4302,8.766219
rt,SCHED_FIFO,50,20260808,99,8.5092,19.0412,8.5298,8.840904
rt,SCHED_FIFO,50,20260808,100,37.2674,67.4063,37.2733,8.868520
rt,SCHED_FIFO,50,20260808,101,35.6317,92.0374,35.6429,9.008539
rt,SCHED_FIFO,50,20260808,102,26.6368,66.8425,26.6595,9.136230
rt,SCHED_FIFO,50,20260808,103,13.3308,50.5707,13.3355,9.229743
rt,SCHED_FIFO,50,20260808,104,13.0788,84.5972,13.1005,9.293658
rt,SCHED_FIFO,50,20260808,105,49.1020,37.9989,49.1093,9.391364
rt,SCHED_FIFO,50,20260808,106,5.7318,93.9466,5.7515,9.478479
rt,SCHED_FIFO,50,20260808,107,20.3284,99.6166,20.3506,9.578182
rt,SCHED_FIFO,50,20260808,108,20.6942,34.3926,20.7122,9.698160
rt,SCHED_FIFO,50,20260808,109,36.9428,68.3789,36.9523,9.753281
rt,SCHED_FIFO,50,20260808,110,41.6102,36.0281,41.6229,9.858621
rt,SCHED_FIFO,50,20260808,111,40.2388,21.1542,73.2832,9.936281
rt,SCHED_FIFO,50,20260808,112,20.9680,13.9736,20.9895,10.030727
rt,SCHED_FIFO,50,20260808,113,34.5855,33.0234,34.6088,10.065694
rt,SCHED_FIFO,50,20260808,114,33.6797,36.7274,33.7030,10.133333
rt,SCHED_FIFO,50,20260808,115,5.7779,69.6345,5.7980,10.203771
rt,SCHED_FIFO,50,20260808,116,31.2096,10.7187,31.2159,10.279209
rt,SCHED_FIFO,50,20260808,117,43.1157,98.2810,43.1387,10.321148
rt,SCHED_FIFO,50,20260808,118,15.2622,54.1087,15.2658,10.462574
rt,SCHED_FIFO,50,20260808,119,34.3469,81.8040,34.3555,10.531954
rt,SCHED_FIFO,50,20260808,120,20.6264,72.0686,20.6506,10.648120
rt,SCHED_FIFO,50,20260808,121,37.2971,50.4758,37.3169,10.740848
rt,SCHED_FIFO,50,20260808,122,29.4873,40.8005,29.5091,10.828648
rt,SCHED_FIFO,50,20260808,123,15.4408,13.2103,15.4620,10.898963
rt,SCHED_FIFO,50,20260808,124,38.9886,27.5832,82.9285,10.927641
rt,SCHED_FIFO,50,20260808,125,18.3119,89.7355,18.3168,11.038160
rt,SCHED_FIFO,50,20260808,126,28.3108,70.8854,28.3328,11.146217
rt,SCHED_FIFO,50,20260808,127,36.9680,14.8444,36.9901,11.245444
rt,SCHED_FIFO,50,20260808,128,15.4474,16.1216,15.4557,11.297284
rt,SCHED_FIFO,50,20260808,129,28.6360,33.9439,28.6522,11.328865
rt,SCHED_FIFO,50,20260808,130,29.0540,74.1978,29.0764,11.391472
rt,SCHED_FIFO,50,20260808,131,7.0346,48.3452,7.0387,11.494767
rt,SCHED_FIFO,50,20260808,132,27.9469,22.7335,27.9522,11.550160
rt,SCHED_FIFO,50,20260808,133,41.6711,19.6644,41.6816,11.600852
rt,SCHED_FIFO,50,20260808,134,10.4320,52.6729,10.4363,11.662203
rt,SCHED_FIFO,50,20260808,135,20.4351,91.8303,20.4565,11.725316
rt,SCHED_FIFO,50,20260808,136,10.5637,91.2601,10.5710,11.837610
rt,SCHED_FIFO,50,20260808,137,42.1920,56.1675,72.1042,11.939450
rt,SCHED_FIFO,50,20260808,138,36.5418,82.9426,36.5484,12.067729
rt,SCHED_FIFO,50,20260808,139,30.9943,91.3962,31.0026,12.187226
rt,SCHED_FIFO,50,20260808,140,34.9074,17.3528,34.9317,12.309634
rt,SCHED_FIFO,50,20260808,141,7.0952,31.5218,7.1022,12.361927
rt,SCHED_FIFO,50,20260808,142,11.1432,86.5752,11.1474,12.400553
rt,SCHED_FIFO,50,20260808,143,47.7835,73.1923,47.7919,12.498280
rt,SCHED_FIFO,50,20260808,144,36.7244,26.8325,36.7492,12.619276
rt,SCHED_FIFO,50,20260808,145,11.2505,20.3687,11.2723,12.682867
rt,SCHED_FIFO,50,20260808,146,45.8574,75.8028,45.8760,12.714512
rt,SCHED_FIFO,50,20260808,147,9.7808,85.6053,9.7847,12.836198
rt,SCHED_FIFO,50,20260808,148,48.6017,23.0699,80.9805,12.931599
rt,SCHED_FIFO,50,20260808,149,34.6355,15.8280,34.6585,13.035666
rt,SCHED_FIFO,50,20260808,150,11.3230,40.2175,11.3277,13.086158
rt,SCHED_FIFO,50,20260808,151,8.3851,88.0183,8.4051,13.137706
rt,SCHED_FIFO,50,20260808,152,34.1705,19.2942,34.1929,13.234135
rt,SCHED_FIFO,50,20260808,153,17.2162,12.8640,17.2212,13.287627
rt,SCHED_FIFO,50,20260808,154,28.8474,59.8175,28.8986,13.317716
rt,SCHED_FIFO,50,20260808,155,7.0995,63.0252,7.1074,13.406489
rt,SCHED_FIFO,50,20260808,156,34.9617,94.8334,34.9702,13.476627
rt,SCHED_FIFO,50,20260808,157,23.6608,18.7848,23.6817,13.606441
rt,SCHED_FIFO,50,20260808,158,39.5024,74.3712,39.5254,13.648913
rt,SCHED_FIFO,50,20260808,159,33.9218,86.2535,33.9442,13.762815
rt,SCHED_FIFO,50,20260808,160,19.2344,68.6711,19.2573,13.883022
rt,SCHED_FIFO,50,20260808,161,27.5163,24.9450,27.5247,14.013555
rt,SCHED_FIFO,50,20260808,162,20.9369,18.4232,20.9601,14.066032
rt,SCHED_FIFO,50,20260808,163,46.5081,41.3221,46.5347,14.105421
rt,SCHED_FIFO,50,20260808,164,49.1266,20.8435,49.1369,14.193284
rt,SCHED_FIFO,50,20260808,165,12.2269,13.5799,12.2309,14.263273
rt,SCHED_FIFO,50,20260808,166,19.8533,89.8225,19.8761,14.289087
rt,SCHED_FIFO,50,20260808,167,43.2302,21.6644,43.2437,14.398789
rt,SCHED_FIFO,50,20260808,168,38.9080,90.8004,38.9152,14.463707
rt,SCHED_FIFO,50,20260808,169,26.3595,35.2891,26.3651,14.593428
rt,SCHED_FIFO,50,20260808,170,48.9870,52.6473,48.9966,14.655089
rt,SCHED_FIFO,50,20260808,171,16.2572,23.4406,16.2785,14.756744
rt,SCHED_FIFO,50,20260808,172,9.9634,56.7332,9.9851,14.796471
rt,SCHED_FIFO,50,20260808,173,37.6243,47.7474,37.6595,14.863194
rt,SCHED_FIFO,50,20260808,174,7.5579,15.6461,7.5779,14.948606
rt,SCHED_FIFO,50,20260808,175,12.0800,62.4680,12.0872,15.014550
rt,SCHED_FIFO,50,20260808,176,49.1478,73.9478,49.1725,15.089117
rt,SCHED_FIFO,50,20260808,177,29.1773,71.4462,29.2022,15.212246
rt,SCHED_FIFO,50,20260808,178,42.9910,34.8242,43.0163,15.312901
rt,SCHED_FIFO,50,20260808,179,43.9809,93.9044,43.9879,15.390750
rt,SCHED_FIFO,50,20260808,180,27.8839,13.4812,27.8897,15.528655
rt,SCHED_FIFO,50,20260808,181,15.4914,90.4342,15.5016,15.570034
rt,SCHED_FIFO,50,20260808,182,13.7549,75.3211,13.7590,15.675972
rt,SCHED_FIFO,50,20260808,183,8.5707,87.7317,8.5776,15.765063
rt,SCHED_FIFO,50,20260808,184,8.1267,43.4005,8.1356,15.861380
rt,SCHED_FIFO,50,20260808,185,11.3669,55.1241,11.3891,15.912922
rt,SCHED_FIFO,50,20260808,186,32.0744,30.5345,32.1024,16.014553
rt,SCHED_FIFO,50,20260808,187,25.0029,17.6807,25.0170,16.077203
rt,SCHED_FIFO,50,20260808,188,41.7654,88.5345,41.7903,16.119909
