condition,policy,priority,seed,trial,target_width_ms,target_isi_ms,host_width_ms,host_onset_s
rt,SCHED_FIFO,50,20260808,0,34.9819,20.5536,35.0071,0.000001
rt,SCHED_FIFO,50,20260808,1,23.2772,45.2719,23.3001,0.056090
rt,SCHED_FIFO,50,20260808,2,27.5821,51.7066,27.6036,0.125468
rt,SCHED_FIFO,50,20260808,3,11.6943,82.5011,11.6987,0.205151
rt,SCHED_FIFO,50,20260808,4,29.2257,70.1140,29.2330,0.299929
rt,SCHED_FIFO,50,20260808,5,42.5299,64.8661,42.5501,0.399300
rt,SCHED_FIFO,50,20260808,6,9.7759,82.7076,9.7812,0.506957
rt,SCHED_FIFO,50,20260808,7,10.4781,63.1352,10.4905,0.599839
rt,SCHED_FIFO,50,20260808,8,33.2159,58.0359,33.2234,0.673477
rt,SCHED_FIFO,50,20260808,9,35.5087,45.7491,35.5165,0.764793
rt,SCHED_FIFO,50,20260808,10,15.0744,43.2716,15.0863,0.846401
rt,SCHED_FIFO,50,20260808,11,30.2606,29.5481,30.2833,0.905578
rt,SCHED_FIFO,50,20260808,12,27.2150,96.9840,27.2379,0.965944
rt,SCHED_FIFO,50,20260808,13,42.0627,60.0178,42.0941,1.090289
rt,SCHED_FIFO,50,20260808,14,8.4178,84.6276,8.4379,1.192480
rt,SCHED_FIFO,50,20260808,15,24.1067,48.7629,24.1302,1.285987
rt,SCHED_FIFO,50,20260808,16,17.5246,86.2734,17.5527,1.359210
rt,SCHED_FIFO,50,20260808,17,34.3142,89.5319,34.3485,1.463886
rt,SCHED_FIFO,50,20260808,18,9.2299,70.3932,9.2351,1.588341
rt,SCHED_FIFO,50,20260808,19,47.3320,21.0246,47.3624,1.668664
rt,SCHED_FIFO,50,20260808,20,31.1825,85.8547,31.2049,1.737105
rt,SCHED_FIFO,50,20260808,21,19.3550,60.3115,19.3618,1.854399
rt,SCHED_FIFO,50,20260808,22,45.5396,35.2497,45.5673,1.934832
rt,SCHED_FIFO,50,20260808,23,43.8904,32.5434,43.9142,2.016487
rt,SCHED_FIFO,50,20260808,24,41.5475,36.5232,41.5729,2.093469
rt,SCHED_FIFO,50,20260808,25,22.1903,70.8238,22.2135,2.172115
rt,SCHED_FIFO,50,20260808,26,44.7056,26.4092,44.7304,2.265407
rt,SCHED_FIFO,50,20260808,27,7.7383,17.5868,7.7429,2.337214
rt,SCHED_FIFO,50,20260808,28,38.0242,53.3963,38.0323,2.363005
rt,SCHED_FIFO,50,20260808,29,46.4686,51.0521,46.4939,2.455135
rt,SCHED_FIFO,50,20260808,30,26.5362,90.4321,26.5513,2.552709
rt,SCHED_FIFO,50,20260808,31,34.8164,24.2930,34.8403,2.670370
rt,SCHED_FIFO,50,20260808,32,12.0426,61.9057,12.0668,2.730278
rt,SCHED_FIFO,50,20260808,33,9.3035,97.4578,9.3088,2.804402
rt,SCHED_FIFO,50,20260808,34,6.9435,59.8795,6.9638,2.911798
rt,SCHED_FIFO,50,20260808,35,14.7314,87.5066,14.7553,2.978830
rt,SCHED_FIFO,50,20260808,36,38.1609,53.3207,38.1695,3.081672
rt,SCHED_FIFO,50,20260808,37,38.1065,76.1430,38.1197,3.173935
rt,SCHED_FIFO,50,20260808,38,17.4900,87.8954,17.5113,3.288208
rt,SCHED_FIFO,50,20260808,39,33.1996,95.8992,33.2252,3.393840
rt,SCHED_FIFO,50,20260808,40,44.7675,93.2246,44.7938,3.523169
rt,SCHED_FIFO,50,20260808,41,5.2958,79.3991,5.3263,3.661195
rt,SCHED_FIFO,50,20260808,42,43.8063,13.7706,43.8323,3.746596
rt,SCHED_FIFO,50,20260808,43,35.0996,53.5627,35.1233,3.804499
rt,SCHED_FIFO,50,20260808,44,32.1633,13.1813,32.1872,3.893716
rt,SCHED_FIFO,50,20260808,45,31.1884,95.3478,31.1947,3.939096
rt,SCHED_FIFO,50,20260808,46,12.3109,54.5062,12.3326,4.066383
rt,SCHED_FIFO,50,20260808,47,17.6106,25.0947,17.6191,4.133803
rt,SCHED_FIFO,50,20260808,48,24.9888,65.7636,25.0114,4.176562
rt,SCHED_FIFO,50,20260808,49,37.7227,77.4376,37.7466,4.267657
rt,SCHED_FIFO,50,20260808,50,30.9898,29.2402,31.0166,4.383495
rt,SCHED_FIFO,50,20260808,51,18.2227,70.4272,18.2445,4.443763
rt,SCHED_FIFO,50,20260808,52,5.9663,62.6587,5.9880,4.533095
rt,SCHED_FIFO,50,20260808,53,16.8375,26.1941,16.8594,4.602159
rt,SCHED_FIFO,50,20260808,54,36.2685,58.2785,36.2941,4.645222
rt,SCHED_FIFO,50,20260808,55,39.4895,70.2914,39.5142,4.740607
rt,SCHED_FIFO,50,20260808,56,42.2807,70.2831,42.2933,4.851210
rt,SCHED_FIFO,50,20260808,57,11.6637,44.6593,11.6862,4.964609
rt,SCHED_FIFO,50,20260808,58,41.0970,82.7619,41.1129,5.021376
rt,SCHED_FIFO,50,20260808,59,28.5414,48.8209,28.5486,5.145601
rt,SCHED_FIFO,50,20260808,60,28.6993,59.4984,28.7147,5.223246
rt,SCHED_FIFO,50,20260808,61,14.8805,50.7027,14.8855,5.312050
rt,SCHED_FIFO,50,20260808,62,18.6354,63.1505,18.6571,5.378008
rt,SCHED_FIFO,50,20260808,63,8.6108,90.7218,8.6328,5.459824
rt,SCHED_FIFO,50,20260808,64,20.3663,77.9548,20.3904,5.559558
rt,SCHED_FIFO,50,20260808,65,41.6893,56.1087,41.7149,5.658053
rt,SCHED_FIFO,50,20260808,66,27.0262,87.2783,27.0494,5.755927
rt,SCHED_FIFO,50,20260808,67,24.5534,81.9405,24.5745,5.871065
rt,SCHED_FIFO,50,20260808,68,28.5485,95.8118,28.5773,5.977742
rt,SCHED_FIFO,50,20260808,69,28.9136,17.1675,28.9291,6.102421
rt,SCHED_FIFO,50,20260808,70,18.2922,59.5885,18.3028,6.148530
rt,SCHED_FIFO,50,20260808,71,28.0983,83.9174,28.1243,6.226906
rt,SCHED_FIFO,50,20260808,72,40.3108,72.6424,40.3241,6.339131
rt,SCHED_FIFO,50,20260808,73,20.7599,40.9846,20.7827,6.452562
rt,SCHED_FIFO,50,20260808,74,22.0312,65.7494,22.0388,6.514425
rt,SCHED_FIFO,50,20260808,75,47.9015,23.4882,47.9297,6.602560
rt,SCHED_FIFO,50,20260808,76,34.7463,71.2197,34.7718,6.674576
rt,SCHED_FIFO,50,20260808,77,17.3642,27.7696,17.3844,6.780577
rt,SCHED_FIFO,50,20260808,78,31.4820,97.3023,31.4887,6.826013
rt,SCHED_FIFO,50,20260808,79,26.9781,88.8287,26.9859,6.955589
rt,SCHED_FIFO,50,20260808,80,31.2134,69.8056,31.2357,7.071668
rt,SCHED_FIFO,50,20260808,81,39.0071,79.1670,39.0324,7.172992
rt,SCHED_FIFO,50,20260808,82,18.6734,64.9768,18.6988,7.291203
rt,SCHED_FIFO,50,20260808,83,14.3325,31.1287,14.3396,7.374982
rt,SCHED_FIFO,50,20260808,84,17.1471,34.1504,17.1725,7.420461
rt,SCHED_FIFO,50,20260808,85,24.9913,40.8408,25.0105,7.471791
rt,SCHED_FIFO,50,20260808,86,24.3493,23.6970,24.3602,7.537861
rt,SCHED_FIFO,50,20260808,87,27.5070,55.4006,27.5131,7.586280
rt,SCHED_FIFO,50,20260808,88,46.2917,92.9098,46.3193,7.669854
rt,SCHED_FIFO,50,20260808,89,20.1499,30.9098,20.1722,7.809261
rt,SCHED_FIFO,50,20260808,90,42.4137,79.9814,42.4228,7.860497
rt,SCHED_FIFO,50,20260808,91,34.0063,58.8520,34.0334,7.983014
rt,SCHED_FIFO,50,20260808,92,36.1894,69.1756,36.2152,8.076145
rt,SCHED_FIFO,50,20260808,93,39.0799,56.3900,39.1177,8.181558
rt,SCHED_FIFO,50,20260808,94,44.5899,42.1341,44.6080,8.277762
rt,SCHED_FIFO,50,20260808,95,6.9783,38.1545,6.9949,8.364514
rt,SCHED_FIFO,50,20260808,96,11.9671,93.0038,11.9941,8.409672
rt,SCHED_FIFO,50,20260808,97,21.5287,32.9506,21.5648,8.514743
rt,SCHED_FIFO,50,20260808,98,40.4189,34.2474,40.4361,8.569416
rt,SCHED_FIFO,50,20260808,99,8.5092,19.0412,8.5299,8.644928
rt,SCHED_FIFO,50,20260808,100,37.2674,67.4063,37.2904,8.672526
rt,SCHED_FIFO,50,20260808,101,35.6317,92.0374,35.6575,8.777912
rt,SCHED_FIFO,50,20260808,102,26.6368,66.8425,26.6623,8.905650
rt,SCHED_FIFO,50,20260808,103,13.3308,50.5707,13.3520,8.999404
rt,SCHED_FIFO,50,20260808,104,13.0788,84.5972,13.1014,9.063822
rt,SCHED_FIFO,50,20260808,105,49.1020,37.9989,49.1302,9.161993
rt,SCHED_FIFO,50,20260808,106,5.7318,93.9466,5.7516,9.249212
rt,SCHED_FIFO,50,20260808,107,20.3284,99.6166,20.3522,9.349029
rt,SCHED_FIFO,50,20260808,108,20.6942,34.3926,20.7072,9.469485
rt,SCHED_FIFO,50,20260808,109,36.9428,68.3789,36.9611,9.525257
rt,SCHED_FIFO,50,20260808,110,41.6102,36.0281,41.6233,9.631300
rt,SCHED_FIFO,50,20260808,111,40.2388,21.1542,40.2655,9.709007
rt,SCHED_FIFO,50,20260808,112,20.9680,13.9736,20.9732,9.770437
rt,SCHED_FIFO,50,20260808,113,34.5855,33.0234,34.6120,9.805454
rt,SCHED_FIFO,50,20260808,114,33.6797,36.7274,33.7033,9.873139
rt,SCHED_FIFO,50,20260808,115,5.7779,69.6345,5.7864,9.943919
rt,SCHED_FIFO,50,20260808,116,31.2096,10.7187,31.2342,10.019757
rt,SCHED_FIFO,50,20260808,117,43.1157,98.2810,43.1291,10.062078
