latency_timer_ms,trial,roundtrip_ms,polls
8,0,8.0038,1
8,1,8.0114,1
8,2,7.9745,1
8,3,8.0144,1
8,4,7.9635,1
8,5,8.1018,1
8,6,7.8700,1
8,7,8.0089,1
8,8,7.9826,1
8,9,8.0024,1
8,10,8.0462,1
8,11,7.9824,1
8,12,7.9979,1
8,13,7.9764,1
8,14,7.9576,1
8,15,7.9621,1
8,16,7.9860,1
8,17,8.0030,1
8,18,7.9702,1
8,19,7.9967,1
8,20,8.0431,1
8,21,8.0010,1
8,22,7.9606,1
8,23,7.9955,1
8,24,8.0063,1
8,25,7.9967,1
8,26,8.0073,1
8,27,7.9490,1
8,28,7.8399,1
8,29,8.0805,1
8,30,8.0026,1
8,31,7.9372,1
8,32,8.0477,1
8,33,7.9805,1
8,34,8.0159,1
8,35,8.0377,1
8,36,7.9791,1
8,37,7.9509,1
8,38,7.9889,1
8,39,8.0134,1
8,40,8.0283,1
8,41,8.0090,1
8,42,8.0052,1
8,43,7.9557,1
8,44,7.9757,1
8,45,8.0226,1
8,46,8.0435,1
8,47,7.9541,1
8,48,7.9982,1
8,49,7.9706,1
8,50,7.9571,1
8,51,7.9957,1
8,52,7.9812,1
8,53,8.0244,1
8,54,8.0017,1
8,55,8.0130,1
8,56,8.0108,1
8,57,8.1166,1
8,58,7.9371,1
8,59,8.1787,1
8,60,7.9682,1
8,61,8.0297,1
8,62,7.8743,1
8,63,8.0601,1
8,64,8.0181,1
8,65,8.0264,1
8,66,7.9660,1
8,67,7.9690,1
8,68,7.9782,1
8,69,8.0041,1
8,70,8.0372,1
8,71,8.0378,1
8,72,7.9907,1
8,73,8.0171,1
8,74,8.0186,1
8,75,7.9777,1
8,76,8.0125,1
8,77,8.0142,1
8,78,7.9667,1
8,79,8.0073,1
8,80,7.9743,1
8,81,7.9709,1
8,82,7.9551,1
8,83,8.0059,1
8,84,7.9863,1
8,85,7.9754,1
8,86,8.0068,1
8,87,8.0113,1
8,88,8.0055,1
8,89,7.9383,1
8,90,7.8421,1
8,91,7.9504,1
8,92,7.9694,1
8,93,7.9571,1
8,94,8.0027,1
8,95,8.0233,1
8,96,7.9928,1
8,97,8.0045,1
8,98,8.0036,1
8,99,7.9903,1
8,100,7.8735,1
8,101,7.9477,1
8,102,8.0033,1
8,103,8.0276,1
8,104,7.9503,1
8,105,8.0500,1
8,106,8.0048,1
8,107,7.9774,1
8,108,8.0275,1
8,109,7.9205,1
8,110,8.0568,1
8,111,7.9883,1
8,112,7.9832,1
8,113,7.9743,1
8,114,7.9988,1
8,115,8.0061,1
8,116,8.0112,1
8,117,7.9635,1
8,118,7.9729,1
8,119,7.9551,1
8,120,7.9878,1
8,121,7.9682,1
8,122,7.9641,1
8,123,7.9986,1
8,124,8.0063,1
8,125,7.9483,1
8,126,7.9966,1
8,127,8.0021,1
8,128,7.9948,1
8,129,8.0064,1
8,130,8.0100,1
8,131,8.0226,1
8,132,8.0244,1
8,133,8.0250,1
8,134,8.0090,1
8,135,7.8981,1
8,136,8.0143,1
8,137,7.9862,1
8,138,8.0112,1
8,139,8.0194,1
8,140,8.0278,1
8,141,8.0341,1
8,142,8.0043,1
8,143,8.0087,1
8,144,8.0113,1
8,145,7.9843,1
8,146,7.9827,1
8,147,8.0058,1
8,148,8.0075,1
8,149,8.0034,1
8,150,8.0210,1
8,151,8.0273,1
8,152,7.9605,1
8,153,7.9993,1
8,154,7.9970,1
8,155,7.9735,1
8,156,7.9881,1
8,157,7.9148,1
8,158,8.0059,1
8,159,7.9290,1
8,160,7.9862,1
8,161,7.9767,1
8,162,7.9950,1
8,163,8.0012,1
8,164,7.9839,1
8,165,7.9945,1
8,166,8.0593,1
8,167,7.9707,1
8,168,8.0169,1
8,169,8.0108,1
8,170,8.0002,1
8,171,7.9915,1
8,172,7.9616,1
8,173,8.0329,1
8,174,8.0036,1
8,175,7.9282,1
8,176,8.0282,1
8,177,7.9582,1
8,178,7.9878,1
8,179,7.9811,1
8,180,7.9817,1
8,181,7.9943,1
8,182,8.1406,1
8,183,7.9721,1
8,184,7.9031,1
8,185,7.9897,1
8,186,8.0166,1
8,187,8.0035,1
8,188,8.0053,1
8,189,7.9716,1
8,190,8.0185,1
8,191,7.9487,1
8,192,8.0135,1
8,193,8.0122,1
8,194,7.9828,1
8,195,7.9099,1
8,196,7.9906,1
8,197,8.0064,1
8,198,8.0095,1
8,199,7.8516,1
8,200,8.0622,1
8,201,7.8840,1
8,202,8.0106,1
8,203,8.0136,1
8,204,8.0051,1
8,205,7.9999,1
8,206,7.9623,1
8,207,7.9587,1
8,208,8.0125,1
8,209,7.9328,1
8,210,8.0015,1
8,211,8.0075,1
8,212,7.9273,1
8,213,8.1257,1
8,214,7.9960,1
8,215,7.9543,1
8,216,8.0102,1
8,217,7.9386,1
8,218,7.9319,1
8,219,8.0620,1
8,220,7.9269,1
8,221,8.0025,1
8,222,8.0067,1
8,223,8.0702,1
8,224,8.0114,1
8,225,7.9849,1
8,226,7.9271,1
8,227,8.0020,1
8,228,8.0307,1
8,229,8.0547,1
8,230,7.9740,1
8,231,8.0127,1
8,232,7.9821,1
8,233,7.9858,1
